,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,calibración_A2,2019-10-05T20:14:48.859,3.3547553,-76.518611,84.0,,,,
2,calibración_A2,2019-10-05T20:14:48.882,3.3547553,-76.518611,,,,,75.0
3,calibración_A2,2019-10-05T20:14:48.883,3.3547553,-76.518611,,7.0,13.0,10.0,
4,calibración_A2,2019-10-05T20:14:49.860,3.3547553,-76.518611,84.0,,,,
5,calibración_A2,2019-10-05T20:14:49.861,3.3547553,-76.518611,,6.0,13.0,10.0,75.0
6,calibración_A2,2019-10-05T20:14:50.859,3.3547553,-76.5186072,84.0,,,,75.0
7,calibración_A2,2019-10-05T20:14:50.860,3.3547553,-76.5186072,,6.0,13.0,10.0,
8,calibración_A2,2019-10-05T20:14:51.859,3.354753,-76.5186021,84.0,,,,
9,calibración_A2,2019-10-05T20:14:51.860,3.354753,-76.5186021,,7.0,14.0,11.0,75.0
10,calibración_A2,2019-10-05T20:14:52.858,3.354753,-76.5186021,84.0,,,,75.0
11,calibración_A2,2019-10-05T20:14:52.859,3.354753,-76.5186021,,8.0,14.0,11.0,
12,calibración_A2,2019-10-05T20:14:53.858,3.3547523,-76.5185983,84.0,8.0,14.0,11.0,75.0
13,calibración_A2,2019-10-05T20:14:54.863,3.3547529,-76.5185927,84.0,8.0,,11.0,75.0
14,calibración_A2,2019-10-05T20:14:54.864,3.3547529,-76.5185927,,,15.0,,
15,calibración_A2,2019-10-05T20:14:55.857,3.3547567,-76.5185865,84.0,8.0,,11.0,75.0
16,calibración_A2,2019-10-05T20:14:55.858,3.3547567,-76.5185865,,,15.0,,
17,calibración_A2,2019-10-05T20:14:56.361,3.3547567,-76.5185865,84.0,,,,
18,calibración_A2,2019-10-05T20:14:56.362,3.3547567,-76.5185865,,8.0,13.0,11.0,75.0
19,calibración_A2,2019-10-05T20:14:57.357,3.3547583,-76.5185831,84.0,8.0,,,75.0
20,calibración_A2,2019-10-05T20:14:57.358,3.3547583,-76.5185831,,,13.0,11.0,
21,calibración_A2,2019-10-05T20:14:58.362,3.3547589,-76.5185793,84.0,8.0,13.0,11.0,75.0
22,calibración_A2,2019-10-05T20:14:59.363,3.3547593,-76.5185768,84.0,8.0,12.0,10.0,75.0
23,calibración_A2,2019-10-05T20:15:00.363,3.3547606,-76.5185717,84.0,,,,
24,calibración_A2,2019-10-05T20:15:00.364,3.3547606,-76.5185717,,8.0,12.0,10.0,75.0
25,calibración_A2,2019-10-05T20:15:01.359,3.3547641,-76.5185616,84.0,,,,74.0
26,calibración_A2,2019-10-05T20:15:01.360,3.3547641,-76.5185616,,7.0,,10.0,
27,calibración_A2,2019-10-05T20:15:01.856,3.3547641,-76.5185616,,,12.0,,
28,calibración_A2,2019-10-05T20:15:02.360,3.3547641,-76.5185616,84.0,,,,
29,calibración_A2,2019-10-05T20:15:02.361,3.3547641,-76.5185616,,8.0,13.0,11.0,74.0
30,calibración_A2,2019-10-05T20:15:03.360,3.3547661,-76.5185564,84.0,,,,
31,calibración_A2,2019-10-05T20:15:03.361,3.3547661,-76.5185564,,8.0,,12.0,75.0
32,calibración_A2,2019-10-05T20:15:03.856,3.3547701,-76.5185489,,,14.0,,
33,calibración_A2,2019-10-05T20:15:04.361,3.3547701,-76.5185489,84.0,8.0,14.0,12.0,75.0
34,calibración_A2,2019-10-05T20:15:05.358,3.3547733,-76.5185437,84.0,,,,75.0
35,calibración_A2,2019-10-05T20:15:05.359,3.3547733,-76.5185437,,9.0,,12.0,
36,calibración_A2,2019-10-05T20:15:05.360,3.3547733,-76.5185437,,,14.0,,
37,calibración_A2,2019-10-05T20:15:06.360,3.3547723,-76.5185372,84.0,,,,
38,calibración_A2,2019-10-05T20:15:06.361,3.3547723,-76.5185372,,9.0,14.0,12.0,75.0
39,calibración_A2,2019-10-05T20:15:07.361,3.354769,-76.5185283,84.0,9.0,14.0,12.0,74.0
40,calibración_A2,2019-10-05T20:15:08.358,3.354769,-76.5185283,84.0,,,,
41,calibración_A2,2019-10-05T20:15:08.359,3.354769,-76.5185283,,10.0,,12.0,74.0
42,calibración_A2,2019-10-05T20:15:08.856,3.3547335,-76.5185392,,,14.0,,
43,calibración_A2,2019-10-05T20:15:09.359,3.3547335,-76.5185392,84.0,,,,74.0
44,calibración_A2,2019-10-05T20:15:09.360,3.3547335,-76.5185392,,10.0,,12.0,
45,calibración_A2,2019-10-05T20:15:09.856,3.3546955,-76.5185508,,,14.0,,
46,calibración_A2,2019-10-05T20:15:10.359,3.3546955,-76.5185508,84.0,,,,74.0
47,calibración_A2,2019-10-05T20:15:10.360,3.3546955,-76.5185508,,9.0,14.0,12.0,
48,calibración_A2,2019-10-05T20:15:11.358,3.354686,-76.5185462,84.0,9.0,14.0,12.0,74.0
49,calibración_A2,2019-10-05T20:15:12.357,3.3546837,-76.5185357,84.0,8.0,,11.0,74.0
50,calibración_A2,2019-10-05T20:15:12.359,3.3546837,-76.5185357,,,13.0,,
51,calibración_A2,2019-10-05T20:15:13.859,3.3546825,-76.5185251,84.0,,,,
52,calibración_A2,2019-10-05T20:15:13.860,3.3546825,-76.5185251,,8.0,13.0,11.0,74.0
