,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100D7D,AirBeam2:001896100D7D,AirBeam2:001896100D7D,AirBeam2:001896100D7D,AirBeam2:001896100D7D
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,calibración_juliana,2019-10-05T20:14:48.468,3.3546857,-76.5186241,82.0,,,,
2,calibración_juliana,2019-10-05T20:14:48.490,3.3546857,-76.5186241,,,,,76.0
3,calibración_juliana,2019-10-05T20:14:48.530,3.3546857,-76.5186241,,10.0,,,
4,calibración_juliana,2019-10-05T20:14:48.556,3.3546857,-76.5186241,,,,14.0,
5,calibración_juliana,2019-10-05T20:14:48.582,3.3546857,-76.5186241,,,21.0,,
6,calibración_juliana,2019-10-05T20:14:49.429,3.3546955,-76.5186041,82.0,,,,
7,calibración_juliana,2019-10-05T20:14:49.434,3.3546955,-76.5186041,,,,,76.0
8,calibración_juliana,2019-10-05T20:14:49.486,3.3546955,-76.5186041,,10.0,,,
9,calibración_juliana,2019-10-05T20:14:49.582,3.3546955,-76.5186041,,,,14.0,
10,calibración_juliana,2019-10-05T20:14:49.584,3.3546955,-76.5186041,,,21.0,,
11,calibración_juliana,2019-10-05T20:14:50.438,3.3546955,-76.5186041,82.0,,,,
12,calibración_juliana,2019-10-05T20:14:50.541,3.3546955,-76.5186041,,,,,76.0
13,calibración_juliana,2019-10-05T20:14:50.542,3.3546955,-76.5186041,,11.0,,,
14,calibración_juliana,2019-10-05T20:14:50.585,3.3546955,-76.5186041,,,20.0,14.0,
15,calibración_juliana,2019-10-05T20:14:51.416,3.3546967,-76.5185975,82.0,,,,
16,calibración_juliana,2019-10-05T20:14:51.488,3.3546967,-76.5185975,,,,,76.0
17,calibración_juliana,2019-10-05T20:14:51.489,3.3546967,-76.5185975,,11.0,,,
18,calibración_juliana,2019-10-05T20:14:51.632,3.3546967,-76.5185975,,,,13.0,
19,calibración_juliana,2019-10-05T20:14:51.730,3.3546967,-76.5185975,,,20.0,,
20,calibración_juliana,2019-10-05T20:14:52.458,3.3546967,-76.5185975,82.0,,,,
21,calibración_juliana,2019-10-05T20:14:52.513,3.3546967,-76.5185975,,,,,76.0
22,calibración_juliana,2019-10-05T20:14:52.551,3.3546967,-76.5185975,,11.0,,,
23,calibración_juliana,2019-10-05T20:14:52.558,3.3546967,-76.5185975,,,,13.0,
24,calibración_juliana,2019-10-05T20:14:52.561,3.3546967,-76.5185975,,,20.0,,
25,calibración_juliana,2019-10-05T20:14:53.395,3.3546976,-76.5185937,82.0,,,,
