,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Calibración_Navia,2019-10-05T20:14:59.082,3.3547328,-76.518432,,,14.0,,
2,Calibración_Navia,2019-10-05T20:14:59.084,3.3547328,-76.518432,85.0,,,,
3,Calibración_Navia,2019-10-05T20:14:59.085,3.3547328,-76.518432,,,,,78.0
4,Calibración_Navia,2019-10-05T20:14:59.085,3.3547328,-76.518432,,10.0,,,
5,Calibración_Navia,2019-10-05T20:14:59.086,3.3547328,-76.518432,,,16.0,13.0,
6,Calibración_Navia,2019-10-05T20:14:59.581,3.3547328,-76.518432,85.0,,,,
7,Calibración_Navia,2019-10-05T20:14:59.582,3.3547328,-76.518432,,,,,78.0
8,Calibración_Navia,2019-10-05T20:14:59.583,3.3547328,-76.518432,,10.0,,,
9,Calibración_Navia,2019-10-05T20:14:59.584,3.3547328,-76.518432,,,,13.0,
10,Calibración_Navia,2019-10-05T20:15:00.079,3.3547408,-76.5184422,,,16.0,,
11,Calibración_Navia,2019-10-05T20:15:00.581,3.3547408,-76.5184422,85.0,,,,
12,Calibración_Navia,2019-10-05T20:15:00.582,3.3547408,-76.5184422,,,,,78.0
13,Calibración_Navia,2019-10-05T20:15:00.583,3.3547408,-76.5184422,,9.0,,,
14,Calibración_Navia,2019-10-05T20:15:00.584,3.3547408,-76.5184422,,,,12.0,
15,Calibración_Navia,2019-10-05T20:15:01.077,3.3547447,-76.5184467,,,16.0,,
16,Calibración_Navia,2019-10-05T20:15:01.581,3.3547447,-76.5184467,85.0,,,,
17,Calibración_Navia,2019-10-05T20:15:01.582,3.3547447,-76.5184467,,,,,78.0
18,Calibración_Navia,2019-10-05T20:15:01.583,3.3547447,-76.5184467,,9.0,,,
19,Calibración_Navia,2019-10-05T20:15:01.584,3.3547447,-76.5184467,,,,12.0,
20,Calibración_Navia,2019-10-05T20:15:02.080,3.3547447,-76.5184467,,,16.0,,
21,Calibración_Navia,2019-10-05T20:15:02.830,3.3547424,-76.5184483,85.0,,,,
22,Calibración_Navia,2019-10-05T20:15:02.831,3.3547424,-76.5184483,,,,,77.0
23,Calibración_Navia,2019-10-05T20:15:02.832,3.3547424,-76.5184483,,9.0,,,
24,Calibración_Navia,2019-10-05T20:15:02.833,3.3547424,-76.5184483,,,,13.0,
25,Calibración_Navia,2019-10-05T20:15:03.329,3.3547424,-76.5184483,,,16.0,,
26,Calibración_Navia,2019-10-05T20:15:04.830,3.3547369,-76.5184452,85.0,,,,
27,Calibración_Navia,2019-10-05T20:15:04.831,3.3547369,-76.5184452,,9.0,,12.0,77.0
28,Calibración_Navia,2019-10-05T20:15:04.832,3.3547369,-76.5184452,,,14.0,,
29,Calibración_Navia,2019-10-05T20:15:05.332,3.3547369,-76.5184452,85.0,,,,
30,Calibración_Navia,2019-10-05T20:15:05.333,3.3547369,-76.5184452,,9.0,,,77.0
31,Calibración_Navia,2019-10-05T20:15:05.334,3.3547369,-76.5184452,,,14.0,12.0,
32,Calibración_Navia,2019-10-05T20:15:06.581,3.3547369,-76.5184452,85.0,,,,
33,Calibración_Navia,2019-10-05T20:15:06.582,3.3547369,-76.5184452,,,,,77.0
34,Calibración_Navia,2019-10-05T20:15:06.583,3.3547369,-76.5184452,,9.0,,12.0,
35,Calibración_Navia,2019-10-05T20:15:06.584,3.3547369,-76.5184452,,,14.0,,
36,Calibración_Navia,2019-10-05T20:15:07.332,3.3547315,-76.5184413,85.0,,,,
37,Calibración_Navia,2019-10-05T20:15:07.333,3.3547315,-76.5184413,,,,,77.0
38,Calibración_Navia,2019-10-05T20:15:07.334,3.3547315,-76.5184413,,9.0,,12.0,
39,Calibración_Navia,2019-10-05T20:15:07.335,3.3547315,-76.5184413,,,14.0,,
40,Calibración_Navia,2019-10-05T20:15:08.580,3.3547315,-76.5184413,85.0,,,,
41,Calibración_Navia,2019-10-05T20:15:08.581,3.3547315,-76.5184413,,,,,77.0
42,Calibración_Navia,2019-10-05T20:15:08.582,3.3547315,-76.5184413,,9.0,,12.0,
43,Calibración_Navia,2019-10-05T20:15:08.583,3.3547315,-76.5184413,,,14.0,,
44,Calibración_Navia,2019-10-05T20:15:09.831,3.3547257,-76.5184359,85.0,,,,
45,Calibración_Navia,2019-10-05T20:15:09.832,3.3547257,-76.5184359,,,,,77.0
46,Calibración_Navia,2019-10-05T20:15:09.833,3.3547257,-76.5184359,,9.0,,,
47,Calibración_Navia,2019-10-05T20:15:09.834,3.3547257,-76.5184359,,,,12.0,
48,Calibración_Navia,2019-10-05T20:15:09.835,3.3547257,-76.5184359,85.0,,14.0,,
49,Calibración_Navia,2019-10-05T20:15:09.836,3.3547257,-76.5184359,,,,,77.0
50,Calibración_Navia,2019-10-05T20:15:10.082,3.3547257,-76.5184359,,9.0,,,
51,Calibración_Navia,2019-10-05T20:15:10.083,3.3547257,-76.5184359,,,,11.0,
52,Calibración_Navia,2019-10-05T20:15:10.835,3.3547176,-76.5184334,,,14.0,,
53,Calibración_Navia,2019-10-05T20:15:10.836,3.3547176,-76.5184334,85.0,,,,
54,Calibración_Navia,2019-10-05T20:15:10.837,3.3547176,-76.5184334,,10.0,,12.0,77.0
55,Calibración_Navia,2019-10-05T20:15:11.331,3.3547176,-76.5184334,,,14.0,,
56,Calibración_Navia,2019-10-05T20:15:11.581,3.3547176,-76.5184334,85.0,,,,
57,Calibración_Navia,2019-10-05T20:15:11.582,3.3547176,-76.5184334,,,,,77.0
58,Calibración_Navia,2019-10-05T20:15:11.583,3.3547176,-76.5184334,,10.0,,12.0,
59,Calibración_Navia,2019-10-05T20:15:12.079,3.3547129,-76.5184335,,,14.0,,
60,Calibración_Navia,2019-10-05T20:15:12.581,3.3547129,-76.5184335,85.0,,,,
61,Calibración_Navia,2019-10-05T20:15:12.582,3.3547129,-76.5184335,,,,,77.0
62,Calibración_Navia,2019-10-05T20:15:12.583,3.3547129,-76.5184335,,9.0,,11.0,
63,Calibración_Navia,2019-10-05T20:15:13.080,3.3547125,-76.5184319,,,14.0,,
64,Calibración_Navia,2019-10-05T20:15:14.579,3.3547125,-76.5184319,85.0,,,,
65,Calibración_Navia,2019-10-05T20:15:14.580,3.3547125,-76.5184319,,9.0,,11.0,77.0
66,Calibración_Navia,2019-10-05T20:15:14.581,3.3547125,-76.5184319,,,14.0,,
67,Calibración_Navia,2019-10-05T20:15:15.077,3.3547145,-76.5184391,85.0,,,,
68,Calibración_Navia,2019-10-05T20:15:15.079,3.3547145,-76.5184391,,9.0,14.0,12.0,77.0
69,Calibración_Navia,2019-10-05T20:15:15.581,3.3547145,-76.5184391,84.0,9.0,,,77.0
70,Calibración_Navia,2019-10-05T20:15:15.582,3.3547145,-76.5184391,,,,12.0,
71,Calibración_Navia,2019-10-05T20:15:16.077,3.3547159,-76.5184569,,,14.0,,
72,Calibración_Navia,2019-10-05T20:15:16.583,3.3547159,-76.5184569,85.0,,,,
73,Calibración_Navia,2019-10-05T20:15:16.584,3.3547159,-76.5184569,,9.0,,12.0,76.0
74,Calibración_Navia,2019-10-05T20:15:17.077,3.3547159,-76.5184569,,,14.0,,
75,Calibración_Navia,2019-10-05T20:15:17.581,3.3547159,-76.5184569,85.0,9.0,,,76.0
76,Calibración_Navia,2019-10-05T20:15:17.582,3.3547159,-76.5184569,,,,12.0,
77,Calibración_Navia,2019-10-05T20:15:18.081,3.3547148,-76.5184571,,,14.0,,
78,Calibración_Navia,2019-10-05T20:15:18.829,3.3547141,-76.5184601,85.0,,,,
79,Calibración_Navia,2019-10-05T20:15:18.830,3.3547141,-76.5184601,,9.0,,12.0,76.0
80,Calibración_Navia,2019-10-05T20:15:19.082,3.3547141,-76.5184601,,,14.0,,
81,Calibración_Navia,2019-10-05T20:15:19.582,3.3547141,-76.5184601,85.0,8.0,,,76.0
82,Calibración_Navia,2019-10-05T20:15:19.583,3.3547141,-76.5184601,,,,11.0,
83,Calibración_Navia,2019-10-05T20:15:20.079,3.3547127,-76.5184623,,,13.0,,
84,Calibración_Navia,2019-10-05T20:15:20.581,3.3547127,-76.5184623,85.0,,,,
85,Calibración_Navia,2019-10-05T20:15:20.582,3.3547127,-76.5184623,,8.0,,11.0,76.0
86,Calibración_Navia,2019-10-05T20:15:21.080,3.3547127,-76.5184623,,,13.0,,
87,Calibración_Navia,2019-10-05T20:15:21.581,3.3547127,-76.5184623,85.0,,,,
88,Calibración_Navia,2019-10-05T20:15:21.582,3.3547127,-76.5184623,,8.0,,11.0,76.0
89,Calibración_Navia,2019-10-05T20:15:22.077,3.3547097,-76.5184666,,,13.0,,
90,Calibración_Navia,2019-10-05T20:15:22.581,3.3547097,-76.5184666,85.0,8.0,,,76.0
91,Calibración_Navia,2019-10-05T20:15:22.582,3.3547097,-76.5184666,,,,11.0,
92,Calibración_Navia,2019-10-05T20:15:23.080,3.3547089,-76.5184675,,,13.0,,
93,Calibración_Navia,2019-10-05T20:15:23.581,3.3547089,-76.5184675,85.0,9.0,,,75.0
94,Calibración_Navia,2019-10-05T20:15:23.582,3.3547089,-76.5184675,,,,12.0,
95,Calibración_Navia,2019-10-05T20:15:25.079,3.3547087,-76.5184678,,,14.0,,
96,Calibración_Navia,2019-10-05T20:15:25.080,3.3547087,-76.5184678,85.0,9.0,,12.0,75.0
97,Calibración_Navia,2019-10-05T20:15:25.081,3.3547087,-76.5184678,,,14.0,,
98,Calibración_Navia,2019-10-05T20:15:25.581,3.3547087,-76.5184678,85.0,9.0,,,75.0
99,Calibración_Navia,2019-10-05T20:15:25.582,3.3547087,-76.5184678,,,,12.0,
100,Calibración_Navia,2019-10-05T20:15:26.080,3.3547086,-76.5184679,,,14.0,,
101,Calibración_Navia,2019-10-05T20:15:26.582,3.3547086,-76.5184679,85.0,,,,75.0
102,Calibración_Navia,2019-10-05T20:15:26.583,3.3547086,-76.5184679,,9.0,,12.0,
103,Calibración_Navia,2019-10-05T20:15:27.079,3.3547084,-76.5184681,,,14.0,,
104,Calibración_Navia,2019-10-05T20:15:27.582,3.3547084,-76.5184681,85.0,,,,75.0
105,Calibración_Navia,2019-10-05T20:15:27.583,3.3547084,-76.5184681,,9.0,,12.0,
106,Calibración_Navia,2019-10-05T20:15:28.085,3.3547084,-76.5184681,,,14.0,,
107,Calibración_Navia,2019-10-05T20:15:28.582,3.3547084,-76.5184681,85.0,9.0,,13.0,75.0
108,Calibración_Navia,2019-10-05T20:15:29.084,3.3547083,-76.5184683,,,15.0,,
109,Calibración_Navia,2019-10-05T20:15:29.581,3.3547083,-76.5184683,85.0,9.0,,,75.0
110,Calibración_Navia,2019-10-05T20:15:29.582,3.3547083,-76.5184683,,,,13.0,
111,Calibración_Navia,2019-10-05T20:15:30.077,3.3547083,-76.5184683,,,15.0,,
112,Calibración_Navia,2019-10-05T20:15:30.581,3.3547083,-76.5184683,85.0,10.0,,,75.0
113,Calibración_Navia,2019-10-05T20:15:30.582,3.3547083,-76.5184683,,,,14.0,
114,Calibración_Navia,2019-10-05T20:15:31.082,3.3546861,-76.5184698,,,16.0,,
115,Calibración_Navia,2019-10-05T20:15:31.829,3.3546667,-76.5184694,85.0,,,,75.0
116,Calibración_Navia,2019-10-05T20:15:31.830,3.3546667,-76.5184694,,9.0,,13.0,
117,Calibración_Navia,2019-10-05T20:15:32.077,3.3546667,-76.5184694,,,15.0,,
118,Calibración_Navia,2019-10-05T20:15:32.582,3.3546667,-76.5184694,85.0,,,,75.0
119,Calibración_Navia,2019-10-05T20:15:32.583,3.3546667,-76.5184694,,9.0,,13.0,
120,Calibración_Navia,2019-10-05T20:15:33.077,3.3546667,-76.5184694,,,16.0,,
121,Calibración_Navia,2019-10-05T20:15:33.581,3.3546667,-76.5184694,85.0,9.0,,,75.0
122,Calibración_Navia,2019-10-05T20:15:33.582,3.3546667,-76.5184694,,,,14.0,
123,Calibración_Navia,2019-10-05T20:15:34.080,3.3546432,-76.5184728,,,18.0,,
124,Calibración_Navia,2019-10-05T20:15:34.581,3.3546432,-76.5184728,85.0,,,,
125,Calibración_Navia,2019-10-05T20:15:34.582,3.3546432,-76.5184728,,9.0,,14.0,75.0
126,Calibración_Navia,2019-10-05T20:15:35.081,3.3546327,-76.5184756,,,18.0,,
127,Calibración_Navia,2019-10-05T20:15:35.581,3.3546327,-76.5184756,85.0,,,,
128,Calibración_Navia,2019-10-05T20:15:35.582,3.3546327,-76.5184756,,9.0,,14.0,75.0
129,Calibración_Navia,2019-10-05T20:15:36.077,3.3546327,-76.5184756,,,18.0,,
130,Calibración_Navia,2019-10-05T20:15:36.581,3.3546327,-76.5184756,85.0,9.0,,,75.0
131,Calibración_Navia,2019-10-05T20:15:36.582,3.3546327,-76.5184756,,,,14.0,
132,Calibración_Navia,2019-10-05T20:15:37.079,3.3546147,-76.5184843,,,18.0,,
133,Calibración_Navia,2019-10-05T20:15:37.585,3.3546147,-76.5184843,85.0,,,,
134,Calibración_Navia,2019-10-05T20:15:37.586,3.3546147,-76.5184843,,9.0,,14.0,75.0
135,Calibración_Navia,2019-10-05T20:15:38.082,3.3546065,-76.51849,,,19.0,,
136,Calibración_Navia,2019-10-05T20:15:38.582,3.3546065,-76.51849,85.0,9.0,,14.0,75.0
137,Calibración_Navia,2019-10-05T20:15:39.079,3.354598,-76.5184954,,,19.0,,
138,Calibración_Navia,2019-10-05T20:15:39.584,3.354598,-76.5184954,85.0,,,,
139,Calibración_Navia,2019-10-05T20:15:39.585,3.354598,-76.5184954,,9.0,,14.0,75.0
140,Calibración_Navia,2019-10-05T20:15:40.080,3.354598,-76.5184954,,,19.0,,
141,Calibración_Navia,2019-10-05T20:15:40.828,3.3545822,-76.5185084,85.0,,,,
142,Calibración_Navia,2019-10-05T20:15:40.829,3.3545822,-76.5185084,,8.0,,13.0,75.0
143,Calibración_Navia,2019-10-05T20:15:41.080,3.3545822,-76.5185084,,,19.0,,
144,Calibración_Navia,2019-10-05T20:15:41.581,3.3545822,-76.5185084,85.0,8.0,,,75.0
145,Calibración_Navia,2019-10-05T20:15:41.582,3.3545822,-76.5185084,,,,13.0,
146,Calibración_Navia,2019-10-05T20:15:42.329,3.3545754,-76.5185112,,,19.0,,
147,Calibración_Navia,2019-10-05T20:15:42.582,3.3545754,-76.5185112,85.0,9.0,,,75.0
148,Calibración_Navia,2019-10-05T20:15:42.583,3.3545754,-76.5185112,,,,14.0,
149,Calibración_Navia,2019-10-05T20:15:43.077,3.3545687,-76.518514,,,21.0,,
150,Calibración_Navia,2019-10-05T20:15:43.581,3.3545687,-76.518514,85.0,,,,
151,Calibración_Navia,2019-10-05T20:15:43.582,3.3545687,-76.518514,,9.0,,14.0,75.0
152,Calibración_Navia,2019-10-05T20:15:44.080,3.3545687,-76.518514,,,21.0,,
153,Calibración_Navia,2019-10-05T20:15:44.582,3.3545687,-76.518514,85.0,,,,
154,Calibración_Navia,2019-10-05T20:15:44.583,3.3545687,-76.518514,,9.0,,14.0,75.0
155,Calibración_Navia,2019-10-05T20:15:45.077,3.354558,-76.5185244,,,21.0,,
156,Calibración_Navia,2019-10-05T20:15:45.582,3.354558,-76.5185244,85.0,9.0,,14.0,75.0
157,Calibración_Navia,2019-10-05T20:15:46.079,3.3545525,-76.5185322,,,21.0,,
158,Calibración_Navia,2019-10-05T20:15:46.582,3.3545525,-76.5185322,85.0,9.0,,13.0,75.0
159,Calibración_Navia,2019-10-05T20:15:47.832,3.3545411,-76.5185442,85.0,,20.0,,
160,Calibración_Navia,2019-10-05T20:15:47.833,3.3545411,-76.5185442,,9.0,19.0,12.0,75.0
161,Calibración_Navia,2019-10-05T20:15:48.581,3.3545411,-76.5185442,85.0,9.0,,12.0,75.0
162,Calibración_Navia,2019-10-05T20:15:49.833,3.3545275,-76.5185531,85.0,,19.0,,
