,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,calibración_yan,2019-10-05T20:14:48.946,3.3547122,-76.5186366,87.0,,,,
2,calibración_yan,2019-10-05T20:14:49.008,3.3547122,-76.5186366,,,,,66.0
3,calibración_yan,2019-10-05T20:14:49.113,3.3547122,-76.5186366,,8.0,,,
4,calibración_yan,2019-10-05T20:14:49.123,3.3547122,-76.5186366,,,,10.0,
5,calibración_yan,2019-10-05T20:14:49.163,3.3547122,-76.5186366,,,11.0,,
6,calibración_yan,2019-10-05T20:14:49.989,3.3547122,-76.5186366,87.0,,,,
7,calibración_yan,2019-10-05T20:14:49.998,3.3547122,-76.5186366,,,,,66.0
8,calibración_yan,2019-10-05T20:14:50.106,3.3547122,-76.5186366,,8.0,,,
9,calibración_yan,2019-10-05T20:14:50.150,3.3547122,-76.5186366,,,,10.0,
10,calibración_yan,2019-10-05T20:14:50.165,3.3547122,-76.5186366,,,11.0,,
11,calibración_yan,2019-10-05T20:14:50.954,3.354705,-76.5186149,87.0,,,,
12,calibración_yan,2019-10-05T20:14:51.026,3.354705,-76.5186149,,,,,66.0
13,calibración_yan,2019-10-05T20:14:51.105,3.354705,-76.5186149,,7.0,,,
14,calibración_yan,2019-10-05T20:14:51.173,3.354705,-76.5186149,,,,10.0,
15,calibración_yan,2019-10-05T20:14:51.174,3.354705,-76.5186149,,,12.0,,
16,calibración_yan,2019-10-05T20:14:51.971,3.3547047,-76.5186057,87.0,,,,
17,calibración_yan,2019-10-05T20:14:52.029,3.3547047,-76.5186057,,,,,67.0
18,calibración_yan,2019-10-05T20:14:52.089,3.3547047,-76.5186057,,7.0,,,
19,calibración_yan,2019-10-05T20:14:52.148,3.3547047,-76.5186057,,,,10.0,
20,calibración_yan,2019-10-05T20:14:52.161,3.3547047,-76.5186057,,,12.0,,
21,calibración_yan,2019-10-05T20:14:53.029,3.3547047,-76.5186057,87.0,,,,
22,calibración_yan,2019-10-05T20:14:53.029,3.3547047,-76.5186057,,,,,66.0
23,calibración_yan,2019-10-05T20:14:53.087,3.3547047,-76.5186057,,7.0,,,
24,calibración_yan,2019-10-05T20:14:53.143,3.3547047,-76.5186057,,,,10.0,
25,calibración_yan,2019-10-05T20:14:53.202,3.3547047,-76.5186057,,,12.0,,
26,calibración_yan,2019-10-05T20:14:54.040,3.3547138,-76.5185889,87.0,,,,
27,calibración_yan,2019-10-05T20:14:54.042,3.3547138,-76.5185889,,,,,66.0
28,calibración_yan,2019-10-05T20:14:54.101,3.3547138,-76.5185889,,7.0,,,
29,calibración_yan,2019-10-05T20:14:54.159,3.3547138,-76.5185889,,,,10.0,
30,calibración_yan,2019-10-05T20:14:54.162,3.3547138,-76.5185889,,,12.0,,
31,calibración_yan,2019-10-05T20:14:55.033,3.3547142,-76.5185843,87.0,,,,66.0
32,calibración_yan,2019-10-05T20:14:55.089,3.3547142,-76.5185843,,8.0,,,
33,calibración_yan,2019-10-05T20:14:55.150,3.3547142,-76.5185843,,,,10.0,
34,calibración_yan,2019-10-05T20:14:55.152,3.3547142,-76.5185843,,,13.0,,
35,calibración_yan,2019-10-05T20:14:56.017,3.3547158,-76.5185848,87.0,,,,
36,calibración_yan,2019-10-05T20:14:56.074,3.3547158,-76.5185848,,,,,67.0
37,calibración_yan,2019-10-05T20:14:56.133,3.3547158,-76.5185848,,8.0,,,
38,calibración_yan,2019-10-05T20:14:56.135,3.3547158,-76.5185848,,,,10.0,
39,calibración_yan,2019-10-05T20:14:56.191,3.3547158,-76.5185848,,,13.0,,
40,calibración_yan,2019-10-05T20:14:56.950,3.3547187,-76.5185811,87.0,,,,
41,calibración_yan,2019-10-05T20:14:57.053,3.3547187,-76.5185811,,,,,67.0
42,calibración_yan,2019-10-05T20:14:57.113,3.3547187,-76.5185811,,8.0,,,
43,calibración_yan,2019-10-05T20:14:57.114,3.3547187,-76.5185811,,,,10.0,
44,calibración_yan,2019-10-05T20:14:57.171,3.3547187,-76.5185811,,,13.0,,
45,calibración_yan,2019-10-05T20:14:57.959,3.3547212,-76.5185789,87.0,,,,
46,calibración_yan,2019-10-05T20:14:58.017,3.3547212,-76.5185789,,,,,67.0
47,calibración_yan,2019-10-05T20:14:58.077,3.3547212,-76.5185789,,8.0,,,
48,calibración_yan,2019-10-05T20:14:58.138,3.3547212,-76.5185789,,,,10.0,
49,calibración_yan,2019-10-05T20:14:58.196,3.3547212,-76.5185789,,,13.0,,
50,calibración_yan,2019-10-05T20:14:58.976,3.3547195,-76.5185769,87.0,,,,
51,calibración_yan,2019-10-05T20:14:59.084,3.3547195,-76.5185769,,,,,67.0
52,calibración_yan,2019-10-05T20:14:59.140,3.3547195,-76.5185769,,8.0,,,
53,calibración_yan,2019-10-05T20:14:59.146,3.3547195,-76.5185769,,,,10.0,
54,calibración_yan,2019-10-05T20:14:59.202,3.3547195,-76.5185769,,,13.0,,
55,calibración_yan,2019-10-05T20:14:59.957,3.3547161,-76.5185735,87.0,,,,
56,calibración_yan,2019-10-05T20:15:00.063,3.3547161,-76.5185735,,,,,67.0
57,calibración_yan,2019-10-05T20:15:00.085,3.3547161,-76.5185735,,8.0,,,
58,calibración_yan,2019-10-05T20:15:00.196,3.3547161,-76.5185735,,,,10.0,
59,calibración_yan,2019-10-05T20:15:00.199,3.3547161,-76.5185735,,,13.0,,
60,calibración_yan,2019-10-05T20:15:00.978,3.3547161,-76.5185735,87.0,,,,
61,calibración_yan,2019-10-05T20:15:00.981,3.3547161,-76.5185735,,,,,67.0
62,calibración_yan,2019-10-05T20:15:01.115,3.3547161,-76.5185735,,8.0,,,
63,calibración_yan,2019-10-05T20:15:01.195,3.3547161,-76.5185735,,,,10.0,
64,calibración_yan,2019-10-05T20:15:01.196,3.3547161,-76.5185735,,,13.0,,
65,calibración_yan,2019-10-05T20:15:01.946,3.3547154,-76.518575,87.0,,,,
66,calibración_yan,2019-10-05T20:15:02.104,3.3547154,-76.518575,,,,,67.0
67,calibración_yan,2019-10-05T20:15:02.105,3.3547154,-76.518575,,8.0,,,
68,calibración_yan,2019-10-05T20:15:02.160,3.3547154,-76.518575,,,,10.0,
69,calibración_yan,2019-10-05T20:15:02.164,3.3547154,-76.518575,,,13.0,,
70,calibración_yan,2019-10-05T20:15:02.988,3.3547157,-76.5185744,87.0,,,,
71,calibración_yan,2019-10-05T20:15:02.991,3.3547157,-76.5185744,,,,,67.0
72,calibración_yan,2019-10-05T20:15:03.107,3.3547157,-76.5185744,,8.0,,,
73,calibración_yan,2019-10-05T20:15:03.110,3.3547157,-76.5185744,,,,10.0,
74,calibración_yan,2019-10-05T20:15:03.166,3.3547157,-76.5185744,,,13.0,,
