,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,ruta4_jueves_quinta_Navia,2019-10-10T07:05:55.803,3.3762641,-76.5441411,76.0,,,,
2,ruta4_jueves_quinta_Navia,2019-10-10T07:05:55.805,3.3762641,-76.5441411,,,,,92.0
3,ruta4_jueves_quinta_Navia,2019-10-10T07:05:55.806,3.3762641,-76.5441411,,22.0,,25.0,
4,ruta4_jueves_quinta_Navia,2019-10-10T07:05:55.807,3.3762641,-76.5441411,76.0,,38.0,,
5,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.050,3.3762641,-76.5441411,,,,,92.0
6,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.051,3.3762641,-76.5441411,,22.0,,,
7,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.052,3.3762641,-76.5441411,,,37.0,25.0,
8,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.053,3.3762641,-76.5441411,76.0,,,,92.0
9,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.055,3.3762641,-76.5441411,,22.0,,25.0,
10,ruta4_jueves_quinta_Navia,2019-10-10T07:05:56.056,3.3762641,-76.5441411,,,37.0,,
11,ruta4_jueves_quinta_Navia,2019-10-10T07:05:57.302,3.3762641,-76.5441411,76.0,,,,
12,ruta4_jueves_quinta_Navia,2019-10-10T07:05:57.303,3.3762641,-76.5441411,,22.0,,,92.0
13,ruta4_jueves_quinta_Navia,2019-10-10T07:05:57.304,3.3762641,-76.5441411,,,37.0,25.0,
14,ruta4_jueves_quinta_Navia,2019-10-10T07:05:58.554,3.3762641,-76.5441411,76.0,,,,92.0
15,ruta4_jueves_quinta_Navia,2019-10-10T07:05:58.555,3.3762641,-76.5441411,,22.0,,25.0,
16,ruta4_jueves_quinta_Navia,2019-10-10T07:05:58.556,3.3762641,-76.5441411,,,37.0,,
17,ruta4_jueves_quinta_Navia,2019-10-10T07:06:00.056,3.3762641,-76.5441411,76.0,,,,
18,ruta4_jueves_quinta_Navia,2019-10-10T07:06:00.067,3.3762641,-76.5441411,,,,,92.0
19,ruta4_jueves_quinta_Navia,2019-10-10T07:06:00.068,3.3762641,-76.5441411,76.0,22.0,37.0,25.0,92.0
20,ruta4_jueves_quinta_Navia,2019-10-10T07:06:00.298,3.3762641,-76.5441411,,21.0,,,
21,ruta4_jueves_quinta_Navia,2019-10-10T07:06:00.299,3.3762641,-76.5441411,,,34.0,25.0,
22,ruta4_jueves_quinta_Navia,2019-10-10T07:06:01.301,3.3762641,-76.5441411,76.0,21.0,,,92.0
23,ruta4_jueves_quinta_Navia,2019-10-10T07:06:01.302,3.3762641,-76.5441411,,,38.0,25.0,
24,ruta4_jueves_quinta_Navia,2019-10-10T07:06:01.802,3.3762641,-76.5441411,76.0,21.0,,25.0,92.0
25,ruta4_jueves_quinta_Navia,2019-10-10T07:06:01.803,3.3762641,-76.5441411,,,38.0,,
26,ruta4_jueves_quinta_Navia,2019-10-10T07:06:02.554,3.3762641,-76.5441411,76.0,21.0,,,91.0
27,ruta4_jueves_quinta_Navia,2019-10-10T07:06:02.798,3.3762641,-76.5441411,,,,24.0,
28,ruta4_jueves_quinta_Navia,2019-10-10T07:06:03.048,3.3762641,-76.5441411,,,36.0,,
29,ruta4_jueves_quinta_Navia,2019-10-10T07:06:03.552,3.3762641,-76.5441411,76.0,21.0,,,91.0
30,ruta4_jueves_quinta_Navia,2019-10-10T07:06:03.798,3.3762641,-76.5441411,,,,24.0,
31,ruta4_jueves_quinta_Navia,2019-10-10T07:06:04.050,3.3762641,-76.5441411,,,36.0,,
32,ruta4_jueves_quinta_Navia,2019-10-10T07:06:04.552,3.3762641,-76.5441411,76.0,,,,91.0
33,ruta4_jueves_quinta_Navia,2019-10-10T07:06:04.553,3.3762641,-76.5441411,,20.0,,23.0,
34,ruta4_jueves_quinta_Navia,2019-10-10T07:06:05.049,3.3762641,-76.5441411,,,36.0,,
35,ruta4_jueves_quinta_Navia,2019-10-10T07:06:05.552,3.3762641,-76.5441411,77.0,20.0,,,91.0
36,ruta4_jueves_quinta_Navia,2019-10-10T07:06:05.799,3.3762641,-76.5441411,,,,23.0,
37,ruta4_jueves_quinta_Navia,2019-10-10T07:06:06.049,3.3762641,-76.5441411,,,36.0,,
38,ruta4_jueves_quinta_Navia,2019-10-10T07:06:06.552,3.3762641,-76.5441411,77.0,20.0,,,91.0
39,ruta4_jueves_quinta_Navia,2019-10-10T07:06:06.553,3.3762641,-76.5441411,,,,24.0,
40,ruta4_jueves_quinta_Navia,2019-10-10T07:06:07.049,3.3762641,-76.5441411,,,37.0,,
41,ruta4_jueves_quinta_Navia,2019-10-10T07:06:07.552,3.3762641,-76.5441411,76.0,,,,
42,ruta4_jueves_quinta_Navia,2019-10-10T07:06:07.553,3.3762641,-76.5441411,,21.0,,25.0,91.0
43,ruta4_jueves_quinta_Navia,2019-10-10T07:06:08.050,3.3762641,-76.5441411,,,39.0,,
44,ruta4_jueves_quinta_Navia,2019-10-10T07:06:08.551,3.3762641,-76.5441411,76.0,,,,
45,ruta4_jueves_quinta_Navia,2019-10-10T07:06:08.552,3.3762641,-76.5441411,,21.0,,25.0,91.0
46,ruta4_jueves_quinta_Navia,2019-10-10T07:06:09.049,3.3762641,-76.5441411,,,39.0,,
47,ruta4_jueves_quinta_Navia,2019-10-10T07:06:10.301,3.3762641,-76.5441411,76.0,21.0,,,91.0
48,ruta4_jueves_quinta_Navia,2019-10-10T07:06:10.302,3.3762641,-76.5441411,,,39.0,25.0,
49,ruta4_jueves_quinta_Navia,2019-10-10T07:06:10.803,3.3762641,-76.5441411,76.0,,,,
50,ruta4_jueves_quinta_Navia,2019-10-10T07:06:10.804,3.3762641,-76.5441411,,20.0,38.0,24.0,92.0
51,ruta4_jueves_quinta_Navia,2019-10-10T07:06:11.552,3.3762641,-76.5441411,76.0,20.0,,,91.0
52,ruta4_jueves_quinta_Navia,2019-10-10T07:06:11.798,3.3762641,-76.5441411,,,,23.0,
53,ruta4_jueves_quinta_Navia,2019-10-10T07:06:12.048,3.3762641,-76.5441411,,,36.0,,
54,ruta4_jueves_quinta_Navia,2019-10-10T07:06:12.551,3.3762641,-76.5441411,77.0,,,,
55,ruta4_jueves_quinta_Navia,2019-10-10T07:06:12.552,3.3762641,-76.5441411,,20.0,,23.0,92.0
56,ruta4_jueves_quinta_Navia,2019-10-10T07:06:13.048,3.3762641,-76.5441411,,,36.0,,
57,ruta4_jueves_quinta_Navia,2019-10-10T07:06:13.553,3.3762641,-76.5441411,77.0,19.0,,23.0,91.0
58,ruta4_jueves_quinta_Navia,2019-10-10T07:06:14.049,3.3762641,-76.5441411,,,36.0,,
59,ruta4_jueves_quinta_Navia,2019-10-10T07:06:14.552,3.3762641,-76.5441411,76.0,19.0,,,91.0
60,ruta4_jueves_quinta_Navia,2019-10-10T07:06:14.799,3.3762641,-76.5441411,,,,23.0,
61,ruta4_jueves_quinta_Navia,2019-10-10T07:06:15.050,3.3762641,-76.5441411,,,36.0,,
62,ruta4_jueves_quinta_Navia,2019-10-10T07:06:15.552,3.3762641,-76.5441411,76.0,19.0,,23.0,91.0
63,ruta4_jueves_quinta_Navia,2019-10-10T07:06:16.049,3.3762641,-76.5441411,,,36.0,,
64,ruta4_jueves_quinta_Navia,2019-10-10T07:06:16.552,3.3762641,-76.5441411,77.0,,,,
65,ruta4_jueves_quinta_Navia,2019-10-10T07:06:16.553,3.3762641,-76.5441411,,19.0,,24.0,91.0
66,ruta4_jueves_quinta_Navia,2019-10-10T07:06:17.049,3.3762641,-76.5441411,,,39.0,,
67,ruta4_jueves_quinta_Navia,2019-10-10T07:06:17.551,3.3762641,-76.5441411,77.0,,,,
68,ruta4_jueves_quinta_Navia,2019-10-10T07:06:17.552,3.3762641,-76.5441411,,19.0,,24.0,91.0
69,ruta4_jueves_quinta_Navia,2019-10-10T07:06:18.049,3.3762641,-76.5441411,,,39.0,,
70,ruta4_jueves_quinta_Navia,2019-10-10T07:06:18.552,3.3762641,-76.5441411,77.0,19.0,,,91.0
71,ruta4_jueves_quinta_Navia,2019-10-10T07:06:18.799,3.3762641,-76.5441411,,,,24.0,
72,ruta4_jueves_quinta_Navia,2019-10-10T07:06:19.049,3.3762641,-76.5441411,,,40.0,,
73,ruta4_jueves_quinta_Navia,2019-10-10T07:06:19.552,3.3762641,-76.5441411,77.0,20.0,,,91.0
74,ruta4_jueves_quinta_Navia,2019-10-10T07:06:19.798,3.3762641,-76.5441411,,,,24.0,
75,ruta4_jueves_quinta_Navia,2019-10-10T07:06:20.049,3.3762641,-76.5441411,,,40.0,,
76,ruta4_jueves_quinta_Navia,2019-10-10T07:06:20.552,3.3762641,-76.5441411,77.0,20.0,,,91.0
77,ruta4_jueves_quinta_Navia,2019-10-10T07:06:20.553,3.3762641,-76.5441411,,,,25.0,
78,ruta4_jueves_quinta_Navia,2019-10-10T07:06:21.049,3.3762641,-76.5441411,,,40.0,,
79,ruta4_jueves_quinta_Navia,2019-10-10T07:06:21.552,3.3762641,-76.5441411,77.0,20.0,,,92.0
80,ruta4_jueves_quinta_Navia,2019-10-10T07:06:21.553,3.3762641,-76.5441411,,,,24.0,
81,ruta4_jueves_quinta_Navia,2019-10-10T07:06:22.049,3.3762641,-76.5441411,,,40.0,,
82,ruta4_jueves_quinta_Navia,2019-10-10T07:06:22.552,3.3762641,-76.5441411,76.0,,,,
83,ruta4_jueves_quinta_Navia,2019-10-10T07:06:22.553,3.3762641,-76.5441411,,20.0,,25.0,92.0
84,ruta4_jueves_quinta_Navia,2019-10-10T07:06:23.049,3.3762641,-76.5441411,,,40.0,,
85,ruta4_jueves_quinta_Navia,2019-10-10T07:06:23.552,3.3762641,-76.5441411,77.0,20.0,,25.0,92.0
86,ruta4_jueves_quinta_Navia,2019-10-10T07:06:24.049,3.3762641,-76.5441411,,,42.0,,
87,ruta4_jueves_quinta_Navia,2019-10-10T07:06:24.552,3.3762641,-76.5441411,77.0,21.0,,,92.0
88,ruta4_jueves_quinta_Navia,2019-10-10T07:06:24.553,3.3762641,-76.5441411,,,,25.0,
89,ruta4_jueves_quinta_Navia,2019-10-10T07:06:25.049,3.3762641,-76.5441411,,,43.0,,
90,ruta4_jueves_quinta_Navia,2019-10-10T07:06:25.551,3.3762641,-76.5441411,76.0,,,,
91,ruta4_jueves_quinta_Navia,2019-10-10T07:06:25.552,3.3762641,-76.5441411,,22.0,,26.0,92.0
92,ruta4_jueves_quinta_Navia,2019-10-10T07:06:26.048,3.3762641,-76.5441411,,,42.0,,
93,ruta4_jueves_quinta_Navia,2019-10-10T07:06:26.552,3.3762641,-76.5441411,77.0,21.0,,,92.0
94,ruta4_jueves_quinta_Navia,2019-10-10T07:06:26.553,3.3762641,-76.5441411,,,,25.0,
95,ruta4_jueves_quinta_Navia,2019-10-10T07:06:27.048,3.3762641,-76.5441411,,,40.0,,
96,ruta4_jueves_quinta_Navia,2019-10-10T07:06:27.552,3.3762641,-76.5441411,77.0,21.0,,,92.0
97,ruta4_jueves_quinta_Navia,2019-10-10T07:06:27.800,3.3762641,-76.5441411,,,,25.0,
98,ruta4_jueves_quinta_Navia,2019-10-10T07:06:28.049,3.3762641,-76.5441411,,,39.0,,
99,ruta4_jueves_quinta_Navia,2019-10-10T07:06:28.552,3.3762641,-76.5441411,77.0,,,,
100,ruta4_jueves_quinta_Navia,2019-10-10T07:06:28.553,3.3762641,-76.5441411,,20.0,,25.0,92.0
101,ruta4_jueves_quinta_Navia,2019-10-10T07:06:29.049,3.3762641,-76.5441411,,,38.0,,
102,ruta4_jueves_quinta_Navia,2019-10-10T07:06:29.552,3.3762641,-76.5441411,77.0,,,,
103,ruta4_jueves_quinta_Navia,2019-10-10T07:06:29.553,3.3762641,-76.5441411,,19.0,,24.0,92.0
104,ruta4_jueves_quinta_Navia,2019-10-10T07:06:30.049,3.3762641,-76.5441411,,,37.0,,
105,ruta4_jueves_quinta_Navia,2019-10-10T07:06:30.552,3.3762641,-76.5441411,77.0,19.0,,,91.0
106,ruta4_jueves_quinta_Navia,2019-10-10T07:06:30.553,3.3762641,-76.5441411,,,,24.0,
107,ruta4_jueves_quinta_Navia,2019-10-10T07:06:31.049,3.3762641,-76.5441411,,,37.0,,
108,ruta4_jueves_quinta_Navia,2019-10-10T07:06:31.552,3.3762641,-76.5441411,76.0,17.0,,,91.0
109,ruta4_jueves_quinta_Navia,2019-10-10T07:06:31.553,3.3762641,-76.5441411,,,,23.0,
110,ruta4_jueves_quinta_Navia,2019-10-10T07:06:32.048,3.3762641,-76.5441411,,,33.0,,
111,ruta4_jueves_quinta_Navia,2019-10-10T07:06:32.551,3.3762641,-76.5441411,77.0,,,,
112,ruta4_jueves_quinta_Navia,2019-10-10T07:06:32.552,3.3762641,-76.5441411,,17.0,,23.0,91.0
113,ruta4_jueves_quinta_Navia,2019-10-10T07:06:33.048,3.3762641,-76.5441411,,,33.0,,
114,ruta4_jueves_quinta_Navia,2019-10-10T07:06:33.551,3.3762641,-76.5441411,77.0,,,,
115,ruta4_jueves_quinta_Navia,2019-10-10T07:06:33.552,3.3762641,-76.5441411,,18.0,,23.0,91.0
116,ruta4_jueves_quinta_Navia,2019-10-10T07:06:34.049,3.3762641,-76.5441411,,,33.0,,
117,ruta4_jueves_quinta_Navia,2019-10-10T07:06:34.804,3.3762641,-76.5441411,77.0,18.0,,23.0,91.0
118,ruta4_jueves_quinta_Navia,2019-10-10T07:06:34.805,3.3762641,-76.5441411,,,36.0,,
119,ruta4_jueves_quinta_Navia,2019-10-10T07:06:35.552,3.3762641,-76.5441411,77.0,,,,
120,ruta4_jueves_quinta_Navia,2019-10-10T07:06:35.553,3.3762641,-76.5441411,,18.0,,,91.0
121,ruta4_jueves_quinta_Navia,2019-10-10T07:06:36.048,3.3762641,-76.5441411,,,,23.0,
122,ruta4_jueves_quinta_Navia,2019-10-10T07:06:36.305,3.3762641,-76.5441411,,,36.0,,
123,ruta4_jueves_quinta_Navia,2019-10-10T07:06:36.801,3.3762641,-76.5441411,77.0,18.0,,22.0,91.0
124,ruta4_jueves_quinta_Navia,2019-10-10T07:06:37.050,3.3762641,-76.5441411,,,33.0,,
125,ruta4_jueves_quinta_Navia,2019-10-10T07:06:37.552,3.3762641,-76.5441411,77.0,17.0,,21.0,90.0
126,ruta4_jueves_quinta_Navia,2019-10-10T07:06:38.050,3.3762641,-76.5441411,,,32.0,,
127,ruta4_jueves_quinta_Navia,2019-10-10T07:06:38.552,3.3762641,-76.5441411,77.0,16.0,,,90.0
128,ruta4_jueves_quinta_Navia,2019-10-10T07:06:38.553,3.3762641,-76.5441411,,,,21.0,
129,ruta4_jueves_quinta_Navia,2019-10-10T07:06:39.050,3.3762641,-76.5441411,,,32.0,,
130,ruta4_jueves_quinta_Navia,2019-10-10T07:06:39.551,3.3762641,-76.5441411,77.0,,,,
131,ruta4_jueves_quinta_Navia,2019-10-10T07:06:39.552,3.3762641,-76.5441411,,16.0,,21.0,90.0
132,ruta4_jueves_quinta_Navia,2019-10-10T07:06:40.050,3.3762641,-76.5441411,,,31.0,,
133,ruta4_jueves_quinta_Navia,2019-10-10T07:06:40.552,3.3762641,-76.5441411,77.0,16.0,,21.0,90.0
134,ruta4_jueves_quinta_Navia,2019-10-10T07:06:41.049,3.3762641,-76.5441411,,,31.0,,
135,ruta4_jueves_quinta_Navia,2019-10-10T07:06:41.552,3.3762641,-76.5441411,77.0,17.0,,20.0,90.0
136,ruta4_jueves_quinta_Navia,2019-10-10T07:06:42.052,3.3762641,-76.5441411,,,30.0,,
137,ruta4_jueves_quinta_Navia,2019-10-10T07:06:43.052,3.3762641,-76.5441411,77.0,17.0,,20.0,90.0
