,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:0018961044BB,AirBeam2:0018961044BB,AirBeam2:0018961044BB,AirBeam2:0018961044BB,AirBeam2:0018961044BB
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,4rutas_simonbolivar_anderson ,2019-10-06T11:16:31.645,3.3669972,-76.5297647,,11.0,,,
2,4rutas_simonbolivar_anderson ,2019-10-06T11:16:31.662,3.3669972,-76.5297647,,,23.0,16.0,
3,4rutas_simonbolivar_anderson ,2019-10-06T11:16:31.663,3.3669972,-76.5297647,90.0,,,,72.0
4,4rutas_simonbolivar_anderson ,2019-10-06T11:16:32.647,3.3669977,-76.5297653,,10.0,,,
5,4rutas_simonbolivar_anderson ,2019-10-06T11:16:32.648,3.3669977,-76.5297653,91.0,,23.0,16.0,72.0
6,4rutas_simonbolivar_anderson ,2019-10-06T11:16:33.645,3.3669977,-76.5297653,91.0,10.0,24.0,16.0,72.0
7,4rutas_simonbolivar_anderson ,2019-10-06T11:16:34.646,3.3669981,-76.5297657,91.0,11.0,27.0,18.0,
8,4rutas_simonbolivar_anderson ,2019-10-06T11:16:34.647,3.3669981,-76.5297657,,,,,72.0
