,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.601,3.376295,-76.5441278,81.0,,,,
2,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.603,3.376295,-76.5441278,,8.0,,,73.0
3,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.604,3.376295,-76.5441278,,,13.0,10.0,
4,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.605,3.376295,-76.5441278,81.0,,,,
5,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.606,3.376295,-76.5441278,,,,,73.0
6,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.854,3.376295,-76.5441278,,8.0,,10.0,
7,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.855,3.376295,-76.5441278,80.0,,13.0,,
8,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:55.856,3.376295,-76.5441278,,9.0,,,73.0
9,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:56.103,3.376295,-76.5441278,,,,11.0,
10,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:56.104,3.376295,-76.5441278,,,14.0,,
11,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:56.105,3.376295,-76.5441278,81.0,,,,73.0
12,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:56.106,3.376295,-76.5441278,,9.0,,11.0,
13,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:37:56.350,3.376295,-76.5441278,,,14.0,,
14,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:00.851,3.376295,-76.5441278,81.0,,,,
15,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:00.852,3.376295,-76.5441278,,9.0,,,72.0
16,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:00.853,3.376295,-76.5441278,,,14.0,11.0,
17,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:00.854,3.376295,-76.5441278,81.0,,,,
18,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.101,3.376295,-76.5441278,,,,,73.0
19,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.102,3.376295,-76.5441278,,9.0,,,
20,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.103,3.376295,-76.5441278,,,14.0,11.0,
21,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.104,3.376295,-76.5441278,81.0,8.0,,,72.0
22,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.351,3.376295,-76.5441278,,,,10.0,
23,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.352,3.376295,-76.5441278,,,13.0,,
24,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.353,3.376295,-76.5441278,81.0,,,,72.0
25,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:01.354,3.376295,-76.5441278,,8.0,,10.0,
26,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.355,3.376295,-76.5441278,,,,,72.0
27,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.356,3.376295,-76.5441278,,8.0,,10.0,
28,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.357,3.376295,-76.5441278,81.0,,13.0,,
29,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.603,3.376295,-76.5441278,,8.0,,,72.0
30,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.604,3.376295,-76.5441278,81.0,8.0,13.0,10.0,72.0
31,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:03.851,3.376295,-76.5441278,,,13.0,10.0,
32,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:04.855,3.376295,-76.5441278,81.0,,,,72.0
33,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:04.856,3.376295,-76.5441278,,8.0,,10.0,
34,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:04.857,3.376295,-76.5441278,,,13.0,,
35,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.605,3.376295,-76.5441278,81.0,,,,
36,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.606,3.376295,-76.5441278,,,,,72.0
37,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.607,3.376295,-76.5441278,,8.0,13.0,10.0,
38,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.608,3.376295,-76.5441278,81.0,,,,72.0
39,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.858,3.376295,-76.5441278,,8.0,,,
40,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.862,3.376295,-76.5441278,,,,10.0,
41,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:07.863,3.376295,-76.5441278,81.0,8.0,13.0,,72.0
42,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:08.101,3.376295,-76.5441278,,,,10.0,
43,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:08.102,3.376295,-76.5441278,,,12.0,,
44,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:10.606,3.376295,-76.5441278,81.0,8.0,,10.0,72.0
45,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:10.607,3.376295,-76.5441278,81.0,,12.0,,
46,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:10.854,3.376295,-76.5441278,,8.0,,,72.0
47,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:10.855,3.376295,-76.5441278,81.0,8.0,12.0,10.0,72.0
48,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:10.857,3.376295,-76.5441278,,,12.0,10.0,
49,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:12.105,3.376295,-76.5441278,81.0,8.0,13.0,10.0,72.0
50,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:12.106,3.376295,-76.5441278,81.0,,,,
51,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:12.357,3.376295,-76.5441278,,,,,72.0
52,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.106,3.376295,-76.5441278,81.0,8.0,13.0,10.0,
53,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.107,3.376295,-76.5441278,,8.0,,,72.0
54,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.353,3.376295,-76.5441278,,,,10.0,
55,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.354,3.376295,-76.5441278,81.0,8.0,13.0,,72.0
56,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.355,3.376295,-76.5441278,,,,10.0,
57,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.356,3.376295,-76.5441278,,,12.0,,
58,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.357,3.376295,-76.5441278,81.0,8.0,,10.0,72.0
59,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:17.358,3.376295,-76.5441278,81.0,,12.0,,
60,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:18.605,3.376295,-76.5441278,81.0,8.0,13.0,10.0,
61,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:18.606,3.376295,-76.5441278,,9.0,,,71.0
62,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:18.851,3.376295,-76.5441278,,,14.0,12.0,
63,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:19.103,3.376295,-76.5441278,81.0,,,,
64,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:19.112,3.376295,-76.5441278,,,,,70.0
65,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:19.353,3.376295,-76.5441278,,9.0,,12.0,
66,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:19.354,3.376295,-76.5441278,,,15.0,,
67,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:20.103,3.376295,-76.5441278,81.0,,,,
68,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:20.107,3.376295,-76.5441278,,,,,70.0
69,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:20.353,3.376295,-76.5441278,,9.0,,,
70,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:20.354,3.376295,-76.5441278,,,15.0,12.0,
71,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:21.101,3.376295,-76.5441278,81.0,,,,
72,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:21.354,3.376295,-76.5441278,,8.0,,10.0,70.0
73,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:21.355,3.376295,-76.5441278,,,13.0,,
74,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:22.102,3.376295,-76.5441278,81.0,,,,
75,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:22.110,3.376295,-76.5441278,,,,,69.0
76,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:22.353,3.376295,-76.5441278,,8.0,,10.0,
77,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:22.354,3.376295,-76.5441278,,,13.0,,
78,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:23.103,3.376295,-76.5441278,81.0,,,,
79,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:23.113,3.376295,-76.5441278,,,,,69.0
80,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:23.354,3.376295,-76.5441278,,8.0,12.0,10.0,
81,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:24.101,3.376295,-76.5441278,81.0,,,,
82,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:24.110,3.376295,-76.5441278,,,,,69.0
83,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:24.353,3.376295,-76.5441278,,8.0,,,
84,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:24.354,3.376295,-76.5441278,,,12.0,10.0,
85,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:25.101,3.376295,-76.5441278,81.0,,,,
86,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:25.110,3.376295,-76.5441278,,,,,69.0
87,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:25.353,3.376295,-76.5441278,,7.0,,10.0,
88,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:25.354,3.376295,-76.5441278,,,12.0,,
89,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:26.103,3.376295,-76.5441278,81.0,,,,
90,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:26.107,3.376295,-76.5441278,,,,,69.0
91,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:26.356,3.376295,-76.5441278,,7.0,12.0,10.0,
92,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:27.103,3.376295,-76.5441278,81.0,,,,
93,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:27.106,3.376295,-76.5441278,,,,,68.0
94,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:27.353,3.376295,-76.5441278,,7.0,,,
95,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:27.354,3.376295,-76.5441278,,,12.0,10.0,
96,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:28.103,3.376295,-76.5441278,81.0,,,,
97,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:28.111,3.376295,-76.5441278,,,,,68.0
98,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:28.353,3.376295,-76.5441278,,6.0,,,
99,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:28.354,3.376295,-76.5441278,,,13.0,10.0,
100,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:29.101,3.376295,-76.5441278,81.0,,,,
101,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:29.110,3.376295,-76.5441278,,,,,68.0
102,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:29.353,3.376295,-76.5441278,,6.0,,10.0,
103,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:29.354,3.376295,-76.5441278,,,13.0,,
104,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:30.101,3.376295,-76.5441278,81.0,,,,
105,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:30.353,3.376295,-76.5441278,,7.0,,,68.0
106,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:30.354,3.376295,-76.5441278,,,13.0,10.0,
107,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:31.101,3.376295,-76.5441278,81.0,,,,
108,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:31.111,3.376295,-76.5441278,,,,,68.0
109,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:31.353,3.376295,-76.5441278,,7.0,,,
110,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:31.354,3.376295,-76.5441278,,,13.0,10.0,
111,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:32.101,3.376295,-76.5441278,82.0,,,,
112,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:32.108,3.376295,-76.5441278,,,,,68.0
113,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:32.354,3.376295,-76.5441278,,6.0,12.0,9.0,
114,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:33.102,3.376295,-76.5441278,81.0,,,,
115,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:33.108,3.376295,-76.5441278,,,,,68.0
116,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:33.353,3.376295,-76.5441278,,6.0,,9.0,
117,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:33.354,3.376295,-76.5441278,,,12.0,,
118,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:34.101,3.376295,-76.5441278,81.0,,,,
119,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:34.112,3.376295,-76.5441278,,,,,68.0
120,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:34.353,3.376295,-76.5441278,,6.0,,,
121,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:34.354,3.376295,-76.5441278,,,12.0,9.0,
122,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:35.101,3.376295,-76.5441278,82.0,,,,
123,Navia_jueves_ca?as_mediodia_1pm_carro,2019-10-24T13:38:35.112,3.376295,-76.5441278,,,,,68.0
