,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,viernes sesión de fondo _anderson,2019-10-11T12:38:02.254,3.3546364,-76.5186542,80.0,,,,
2,viernes sesión de fondo _anderson,2019-10-11T12:38:02.264,3.3546364,-76.5186542,,13.0,,,83.0
3,viernes sesión de fondo _anderson,2019-10-11T12:38:02.265,3.3546364,-76.5186542,,,22.0,16.0,
4,viernes sesión de fondo _anderson,2019-10-11T12:38:03.253,3.3546394,-76.5186497,81.0,,,,83.0
5,viernes sesión de fondo _anderson,2019-10-11T12:38:03.254,3.3546394,-76.5186497,,13.0,22.0,16.0,
6,viernes sesión de fondo _anderson,2019-10-11T12:38:04.254,3.3546394,-76.5186497,81.0,,,,
7,viernes sesión de fondo _anderson,2019-10-11T12:38:04.255,3.3546394,-76.5186497,,14.0,22.0,16.0,83.0
8,viernes sesión de fondo _anderson,2019-10-11T12:38:05.256,3.3546401,-76.518649,80.0,14.0,22.0,16.0,83.0
9,viernes sesión de fondo _anderson,2019-10-11T12:38:06.255,3.35464,-76.5186493,81.0,13.0,22.0,16.0,83.0
10,viernes sesión de fondo _anderson,2019-10-11T12:38:07.254,3.3546723,-76.5186415,81.0,,,,
11,viernes sesión de fondo _anderson,2019-10-11T12:38:07.255,3.3546723,-76.5186415,,13.0,22.0,16.0,83.0
12,viernes sesión de fondo _anderson,2019-10-11T12:38:08.257,3.3546943,-76.5186314,81.0,,,,
13,viernes sesión de fondo _anderson,2019-10-11T12:38:08.258,3.3546943,-76.5186314,,13.0,23.0,16.0,83.0
14,viernes sesión de fondo _anderson,2019-10-11T12:38:09.256,3.3547038,-76.5186251,81.0,,,,83.0
15,viernes sesión de fondo _anderson,2019-10-11T12:38:09.257,3.3547038,-76.5186251,,12.0,23.0,16.0,
16,viernes sesión de fondo _anderson,2019-10-11T12:38:10.254,3.3547038,-76.5186251,81.0,12.0,23.0,16.0,83.0
17,viernes sesión de fondo _anderson,2019-10-11T12:38:11.255,3.3547174,-76.5186158,81.0,,,,
18,viernes sesión de fondo _anderson,2019-10-11T12:38:11.256,3.3547174,-76.5186158,,13.0,24.0,17.0,83.0
19,viernes sesión de fondo _anderson,2019-10-11T12:38:12.254,3.3547269,-76.5186095,81.0,,,,
20,viernes sesión de fondo _anderson,2019-10-11T12:38:12.255,3.3547269,-76.5186095,,13.0,24.0,17.0,83.0
21,viernes sesión de fondo _anderson,2019-10-11T12:38:13.256,3.3547269,-76.5186095,81.0,,,,
22,viernes sesión de fondo _anderson,2019-10-11T12:38:13.257,3.3547269,-76.5186095,,13.0,24.0,17.0,83.0
23,viernes sesión de fondo _anderson,2019-10-11T12:38:14.254,3.3547302,-76.5186067,81.0,13.0,,17.0,83.0
24,viernes sesión de fondo _anderson,2019-10-11T12:38:14.255,3.3547302,-76.5186067,,,24.0,,
25,viernes sesión de fondo _anderson,2019-10-11T12:38:15.255,3.3547302,-76.5186067,81.0,,,,
26,viernes sesión de fondo _anderson,2019-10-11T12:38:15.256,3.3547302,-76.5186067,,13.0,25.0,18.0,83.0
27,viernes sesión de fondo _anderson,2019-10-11T12:38:16.254,3.3547302,-76.5186067,81.0,,,,
28,viernes sesión de fondo _anderson,2019-10-11T12:38:16.255,3.3547302,-76.5186067,,14.0,26.0,19.0,82.0
29,viernes sesión de fondo _anderson,2019-10-11T12:38:17.254,3.3547302,-76.5186067,81.0,,,,
30,viernes sesión de fondo _anderson,2019-10-11T12:38:17.255,3.3547302,-76.5186067,,14.0,26.0,19.0,82.0
31,viernes sesión de fondo _anderson,2019-10-11T12:38:18.254,3.3547302,-76.5186067,81.0,,,,
32,viernes sesión de fondo _anderson,2019-10-11T12:38:18.255,3.3547302,-76.5186067,,13.0,27.0,18.0,82.0
33,viernes sesión de fondo _anderson,2019-10-11T12:38:19.256,3.3547302,-76.5186067,81.0,13.0,27.0,18.0,82.0
34,viernes sesión de fondo _anderson,2019-10-11T12:38:20.257,3.3547484,-76.5185822,81.0,14.0,27.0,19.0,82.0
35,viernes sesión de fondo _anderson,2019-10-11T12:38:21.254,3.3547484,-76.5185822,81.0,,,,
36,viernes sesión de fondo _anderson,2019-10-11T12:38:21.255,3.3547484,-76.5185822,,14.0,27.0,19.0,82.0
37,viernes sesión de fondo _anderson,2019-10-11T12:38:22.254,3.3547484,-76.5185822,81.0,,,,
38,viernes sesión de fondo _anderson,2019-10-11T12:38:22.255,3.3547484,-76.5185822,,14.0,28.0,19.0,82.0
39,viernes sesión de fondo _anderson,2019-10-11T12:38:23.255,3.3547484,-76.5185822,81.0,15.0,28.0,19.0,82.0
40,viernes sesión de fondo _anderson,2019-10-11T12:38:24.256,3.3547484,-76.5185822,81.0,15.0,,19.0,82.0
41,viernes sesión de fondo _anderson,2019-10-11T12:38:24.257,3.3547484,-76.5185822,,,28.0,,
42,viernes sesión de fondo _anderson,2019-10-11T12:38:25.258,3.3547484,-76.5185822,81.0,15.0,,,82.0
43,viernes sesión de fondo _anderson,2019-10-11T12:38:25.259,3.3547484,-76.5185822,,,28.0,19.0,
44,viernes sesión de fondo _anderson,2019-10-11T12:38:26.255,3.3547258,-76.5185607,81.0,,,,
