,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:37.356,3.3668517,-76.5301613,,19.0,,,
2,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:37.373,3.3668517,-76.5301613,82.0,,37.0,24.0,88.0
3,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:38.356,3.3668518,-76.5301614,,20.0,,,
4,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:38.358,3.3668518,-76.5301614,,,,25.0,
5,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:38.359,3.3668518,-76.5301614,,,39.0,,
6,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:38.360,3.3668518,-76.5301614,82.0,,,,88.0
7,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:39.356,3.3668518,-76.5301614,,20.0,,,
8,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:39.357,3.3668518,-76.5301614,82.0,,41.0,26.0,88.0
9,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:40.356,3.3668517,-76.5301615,82.0,20.0,43.0,27.0,
10,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:40.853,3.3668517,-76.5301615,,,,,88.0
11,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:41.355,3.3668517,-76.5301615,,20.0,43.0,27.0,
12,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:41.356,3.3668517,-76.5301615,82.0,,,,
13,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:41.853,3.3668517,-76.5301615,,,,,88.0
14,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:42.357,3.3668517,-76.5301615,,20.0,,,
15,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:42.358,3.3668517,-76.5301615,,,,26.0,
16,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:42.359,3.3668517,-76.5301615,82.0,,43.0,,88.0
17,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:43.359,3.3668517,-76.5301615,,21.0,,27.0,
18,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:43.360,3.3668517,-76.5301615,82.0,,44.0,,
19,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:43.853,3.3668517,-76.5301615,,,,,88.0
20,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:44.360,3.3668517,-76.5301615,,21.0,,,
21,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:44.361,3.3668517,-76.5301615,82.0,,44.0,27.0,88.0
22,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:45.359,3.3668517,-76.5301615,,21.0,45.0,27.0,
23,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:45.360,3.3668517,-76.5301615,82.0,,,,88.0
24,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:46.859,3.3668518,-76.5301615,,21.0,,,
25,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:46.860,3.3668518,-76.5301615,82.0,,44.0,27.0,87.0
26,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:47.860,3.3668518,-76.5301615,,21.0,,27.0,
27,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:47.861,3.3668518,-76.5301615,82.0,21.0,44.0,,87.0
28,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:47.862,3.3668518,-76.5301615,,,44.0,27.0,
29,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:48.857,3.3668518,-76.5301615,82.0,,,,
30,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:48.858,3.3668518,-76.5301615,,21.0,,,87.0
31,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:48.859,3.3668518,-76.5301615,,,42.0,26.0,
32,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:49.857,3.3668519,-76.5301615,82.0,21.0,,25.0,87.0
33,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:49.858,3.3668519,-76.5301615,,,40.0,,
34,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:50.858,3.3668519,-76.5301615,82.0,,,,
35,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:50.859,3.3668519,-76.5301615,,21.0,,,87.0
36,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:50.860,3.3668519,-76.5301615,,,40.0,25.0,
37,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:51.859,3.3668519,-76.5301615,82.0,,,,
38,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:51.860,3.3668519,-76.5301615,,22.0,,,87.0
39,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:51.861,3.3668519,-76.5301615,,,42.0,27.0,
40,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:52.859,3.3668519,-76.5301616,82.0,22.0,,,87.0
41,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:52.860,3.3668519,-76.5301616,,,42.0,27.0,
42,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:54.358,3.3668519,-76.5301616,82.0,,,,
43,medicion_dh_viernes_ander_cañas,2019-11-01T08:26:54.359,3.3668519,-76.5301616,,22.0,42.0,27.0,87.0
