,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,medición miércoles anderson bocha jave ,2019-10-30T08:27:48.627,3.3547286,-76.5186332,77.0,,,,
2,medición miércoles anderson bocha jave ,2019-10-30T08:27:49.129,3.3547286,-76.5186332,,19.0,,23.0,92.0
3,medición miércoles anderson bocha jave ,2019-10-30T08:27:49.130,3.3547286,-76.5186332,,,37.0,,
4,medición miércoles anderson bocha jave ,2019-10-30T08:27:50.126,3.3547266,-76.5186373,77.0,,,,
5,medición miércoles anderson bocha jave ,2019-10-30T08:27:50.131,3.3547266,-76.5186373,,,,,92.0
6,medición miércoles anderson bocha jave ,2019-10-30T08:27:50.132,3.3547266,-76.5186373,,19.0,40.0,23.0,
7,medición miércoles anderson bocha jave ,2019-10-30T08:27:50.628,3.3547266,-76.5186373,77.0,,,,
8,medición miércoles anderson bocha jave ,2019-10-30T08:27:51.129,3.354724,-76.5186365,,,,,92.0
9,medición miércoles anderson bocha jave ,2019-10-30T08:27:51.130,3.354724,-76.5186365,,19.0,41.0,24.0,
10,medición miércoles anderson bocha jave ,2019-10-30T08:27:51.629,3.354724,-76.5186365,77.0,,,,
11,medición miércoles anderson bocha jave ,2019-10-30T08:27:52.131,3.354724,-76.5186365,,,,,92.0
12,medición miércoles anderson bocha jave ,2019-10-30T08:27:52.132,3.354724,-76.5186365,,18.0,,23.0,
13,medición miércoles anderson bocha jave ,2019-10-30T08:27:52.133,3.354724,-76.5186365,,,39.0,,
14,medición miércoles anderson bocha jave ,2019-10-30T08:27:52.631,3.3547216,-76.5186334,77.0,,,,
15,medición miércoles anderson bocha jave ,2019-10-30T08:27:53.128,3.3547216,-76.5186334,,17.0,39.0,23.0,92.0
16,medición miércoles anderson bocha jave ,2019-10-30T08:27:53.625,3.3547216,-76.5186334,77.0,,,,
17,medición miércoles anderson bocha jave ,2019-10-30T08:27:54.129,3.3547188,-76.5186255,,,,,92.0
18,medición miércoles anderson bocha jave ,2019-10-30T08:27:54.130,3.3547188,-76.5186255,,17.0,40.0,24.0,
19,medición miércoles anderson bocha jave ,2019-10-30T08:27:54.628,3.3547188,-76.5186255,77.0,,,,
20,medición miércoles anderson bocha jave ,2019-10-30T08:27:55.130,3.3547188,-76.5186255,,17.0,,24.0,92.0
21,medición miércoles anderson bocha jave ,2019-10-30T08:27:55.131,3.3547188,-76.5186255,,,40.0,,
22,medición miércoles anderson bocha jave ,2019-10-30T08:27:55.627,3.3547188,-76.5186255,77.0,,,,
23,medición miércoles anderson bocha jave ,2019-10-30T08:27:56.130,3.3547154,-76.5186179,,17.0,,,92.0
24,medición miércoles anderson bocha jave ,2019-10-30T08:27:56.131,3.3547154,-76.5186179,,,39.0,24.0,
25,medición miércoles anderson bocha jave ,2019-10-30T08:27:56.627,3.3547154,-76.5186179,77.0,,,,
26,medición miércoles anderson bocha jave ,2019-10-30T08:27:57.132,3.3547154,-76.5186179,,18.0,,,92.0
27,medición miércoles anderson bocha jave ,2019-10-30T08:27:57.133,3.3547154,-76.5186179,,,40.0,25.0,
28,medición miércoles anderson bocha jave ,2019-10-30T08:27:57.629,3.3547154,-76.5186179,77.0,,,,
29,medición miércoles anderson bocha jave ,2019-10-30T08:27:58.134,3.3547139,-76.5186156,,,,,92.0
30,medición miércoles anderson bocha jave ,2019-10-30T08:27:58.135,3.3547139,-76.5186156,,18.0,,25.0,
31,medición miércoles anderson bocha jave ,2019-10-30T08:27:58.136,3.3547139,-76.5186156,,,42.0,,
32,medición miércoles anderson bocha jave ,2019-10-30T08:27:58.628,3.3547139,-76.5186156,77.0,,,,
33,medición miércoles anderson bocha jave ,2019-10-30T08:27:59.129,3.3547139,-76.5186156,,18.0,42.0,25.0,92.0
34,medición miércoles anderson bocha jave ,2019-10-30T08:27:59.628,3.3547139,-76.5186156,77.0,,,,
35,medición miércoles anderson bocha jave ,2019-10-30T08:28:00.132,3.3547134,-76.5186133,,17.0,,25.0,92.0
36,medición miércoles anderson bocha jave ,2019-10-30T08:28:00.133,3.3547134,-76.5186133,,,39.0,,
37,medición miércoles anderson bocha jave ,2019-10-30T08:28:00.629,3.3547134,-76.5186133,77.0,,,,
38,medición miércoles anderson bocha jave ,2019-10-30T08:28:01.132,3.3547135,-76.5186122,,17.0,,,92.0
39,medición miércoles anderson bocha jave ,2019-10-30T08:28:01.133,3.3547135,-76.5186122,,,39.0,25.0,
40,medición miércoles anderson bocha jave ,2019-10-30T08:28:01.629,3.3547135,-76.5186122,77.0,,,,
41,medición miércoles anderson bocha jave ,2019-10-30T08:28:02.130,3.3547135,-76.5186122,,,,,92.0
42,medición miércoles anderson bocha jave ,2019-10-30T08:28:02.131,3.3547135,-76.5186122,,18.0,39.0,25.0,
43,medición miércoles anderson bocha jave ,2019-10-30T08:28:02.627,3.3547135,-76.5186122,77.0,,,,
44,medición miércoles anderson bocha jave ,2019-10-30T08:28:03.131,3.3547141,-76.518611,,,,,92.0
45,medición miércoles anderson bocha jave ,2019-10-30T08:28:03.132,3.3547141,-76.518611,,18.0,39.0,25.0,
46,medición miércoles anderson bocha jave ,2019-10-30T08:28:03.627,3.3547141,-76.518611,77.0,,,,
