,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71,AirBeam2:001896100D71
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,navia_cañas_diahabil_bici,2019-11-01T08:27:02.910,3.3669332,-76.5302454,82.0,,,,
2,navia_cañas_diahabil_bici,2019-11-01T08:27:02.911,3.3669332,-76.5302454,,25.0,,,88.0
3,navia_cañas_diahabil_bici,2019-11-01T08:27:02.912,3.3669332,-76.5302454,,,48.0,29.0,
4,navia_cañas_diahabil_bici,2019-11-01T08:27:03.913,3.3669269,-76.5302447,82.0,,,,
5,navia_cañas_diahabil_bici,2019-11-01T08:27:03.915,3.3669269,-76.5302447,,,,,88.0
6,navia_cañas_diahabil_bici,2019-11-01T08:27:03.916,3.3669269,-76.5302447,,27.0,,,
7,navia_cañas_diahabil_bici,2019-11-01T08:27:03.917,3.3669269,-76.5302447,,,,31.0,
8,navia_cañas_diahabil_bici,2019-11-01T08:27:03.919,3.3669269,-76.5302447,,,51.0,,
9,navia_cañas_diahabil_bici,2019-11-01T08:27:04.911,3.3669249,-76.5302417,82.0,,,,
10,navia_cañas_diahabil_bici,2019-11-01T08:27:04.913,3.3669249,-76.5302417,,,,,88.0
11,navia_cañas_diahabil_bici,2019-11-01T08:27:04.914,3.3669249,-76.5302417,,27.0,,31.0,
12,navia_cañas_diahabil_bici,2019-11-01T08:27:04.915,3.3669249,-76.5302417,,,51.0,,
13,navia_cañas_diahabil_bici,2019-11-01T08:27:05.914,3.366925,-76.5302402,82.0,,,,
14,navia_cañas_diahabil_bici,2019-11-01T08:27:05.915,3.366925,-76.5302402,,,,,88.0
15,navia_cañas_diahabil_bici,2019-11-01T08:27:05.916,3.366925,-76.5302402,,27.0,,,
16,navia_cañas_diahabil_bici,2019-11-01T08:27:05.917,3.366925,-76.5302402,,,51.0,31.0,
17,navia_cañas_diahabil_bici,2019-11-01T08:27:06.914,3.3669253,-76.5302392,82.0,,,,
18,navia_cañas_diahabil_bici,2019-11-01T08:27:06.916,3.3669253,-76.5302392,,,,,88.0
19,navia_cañas_diahabil_bici,2019-11-01T08:27:06.917,3.3669253,-76.5302392,,27.0,,,
20,navia_cañas_diahabil_bici,2019-11-01T08:27:06.919,3.3669253,-76.5302392,,,,30.0,
21,navia_cañas_diahabil_bici,2019-11-01T08:27:06.920,3.3669253,-76.5302392,,,50.0,,
22,navia_cañas_diahabil_bici,2019-11-01T08:27:07.914,3.3669218,-76.5302378,82.0,,,,
23,navia_cañas_diahabil_bici,2019-11-01T08:27:07.915,3.3669218,-76.5302378,,,,,88.0
24,navia_cañas_diahabil_bici,2019-11-01T08:27:07.916,3.3669218,-76.5302378,,27.0,,,
25,navia_cañas_diahabil_bici,2019-11-01T08:27:07.917,3.3669218,-76.5302378,,,,30.0,
26,navia_cañas_diahabil_bici,2019-11-01T08:27:07.918,3.3669218,-76.5302378,,,50.0,,
27,navia_cañas_diahabil_bici,2019-11-01T08:27:08.913,3.3669145,-76.530235,82.0,,,,
28,navia_cañas_diahabil_bici,2019-11-01T08:27:08.915,3.3669145,-76.530235,,27.0,,,88.0
29,navia_cañas_diahabil_bici,2019-11-01T08:27:08.916,3.3669145,-76.530235,,,,31.0,
30,navia_cañas_diahabil_bici,2019-11-01T08:27:08.917,3.3669145,-76.530235,,,51.0,,
31,navia_cañas_diahabil_bici,2019-11-01T08:27:09.912,3.3669145,-76.530235,82.0,,,,
32,navia_cañas_diahabil_bici,2019-11-01T08:27:09.914,3.3669145,-76.530235,,,,,88.0
33,navia_cañas_diahabil_bici,2019-11-01T08:27:09.915,3.3669145,-76.530235,,26.0,,,
34,navia_cañas_diahabil_bici,2019-11-01T08:27:09.917,3.3669145,-76.530235,,,50.0,30.0,
35,navia_cañas_diahabil_bici,2019-11-01T08:27:10.912,3.3669136,-76.5302413,82.0,,,,88.0
36,navia_cañas_diahabil_bici,2019-11-01T08:27:10.913,3.3669136,-76.5302413,,26.0,,30.0,
37,navia_cañas_diahabil_bici,2019-11-01T08:27:10.914,3.3669136,-76.5302413,,,50.0,,
38,navia_cañas_diahabil_bici,2019-11-01T08:27:11.910,3.3669199,-76.5302218,82.0,,,,88.0
39,navia_cañas_diahabil_bici,2019-11-01T08:27:11.911,3.3669199,-76.5302218,,26.0,50.0,30.0,
40,navia_cañas_diahabil_bici,2019-11-01T08:27:12.911,3.3669232,-76.5302116,82.0,,,,
41,navia_cañas_diahabil_bici,2019-11-01T08:27:12.912,3.3669232,-76.5302116,,27.0,,31.0,88.0
42,navia_cañas_diahabil_bici,2019-11-01T08:27:12.913,3.3669232,-76.5302116,,,51.0,,
43,navia_cañas_diahabil_bici,2019-11-01T08:27:13.913,3.3669232,-76.5302116,82.0,,,,
44,navia_cañas_diahabil_bici,2019-11-01T08:27:13.914,3.3669232,-76.5302116,,27.0,,,88.0
45,navia_cañas_diahabil_bici,2019-11-01T08:27:13.915,3.3669232,-76.5302116,,,51.0,31.0,
46,navia_cañas_diahabil_bici,2019-11-01T08:27:14.911,3.3669237,-76.5302095,82.0,,,,
47,navia_cañas_diahabil_bici,2019-11-01T08:27:14.912,3.3669237,-76.5302095,,27.0,,,88.0
48,navia_cañas_diahabil_bici,2019-11-01T08:27:14.913,3.3669237,-76.5302095,,,51.0,31.0,
49,navia_cañas_diahabil_bici,2019-11-01T08:27:15.913,3.3669239,-76.5302094,82.0,,,,
50,navia_cañas_diahabil_bici,2019-11-01T08:27:15.914,3.3669239,-76.5302094,,26.0,,30.0,87.0
51,navia_cañas_diahabil_bici,2019-11-01T08:27:15.915,3.3669239,-76.5302094,,,50.0,,
52,navia_cañas_diahabil_bici,2019-11-01T08:27:17.410,3.3669242,-76.530209,82.0,,,,
53,navia_cañas_diahabil_bici,2019-11-01T08:27:17.411,3.3669242,-76.530209,,,,,87.0
54,navia_cañas_diahabil_bici,2019-11-01T08:27:17.412,3.3669242,-76.530209,,26.0,,30.0,
55,navia_cañas_diahabil_bici,2019-11-01T08:27:17.414,3.3669242,-76.530209,,,50.0,,
56,navia_cañas_diahabil_bici,2019-11-01T08:27:17.415,3.3669242,-76.530209,82.0,,,,
57,navia_cañas_diahabil_bici,2019-11-01T08:27:17.416,3.3669242,-76.530209,,,,,87.0
58,navia_cañas_diahabil_bici,2019-11-01T08:27:17.417,3.3669242,-76.530209,,26.0,,30.0,
59,navia_cañas_diahabil_bici,2019-11-01T08:27:17.418,3.3669242,-76.530209,,,51.0,,
60,navia_cañas_diahabil_bici,2019-11-01T08:27:18.412,3.3669237,-76.53021,82.0,,,,
61,navia_cañas_diahabil_bici,2019-11-01T08:27:18.413,3.3669237,-76.53021,,26.0,51.0,30.0,87.0
62,navia_cañas_diahabil_bici,2019-11-01T08:27:19.409,3.3669215,-76.5302073,82.0,,,,87.0
63,navia_cañas_diahabil_bici,2019-11-01T08:27:19.410,3.3669215,-76.5302073,,26.0,50.0,30.0,
64,navia_cañas_diahabil_bici,2019-11-01T08:27:20.912,3.3669177,-76.5302043,82.0,,,,
65,navia_cañas_diahabil_bici,2019-11-01T08:27:20.913,3.3669177,-76.5302043,,26.0,50.0,30.0,87.0
66,navia_cañas_diahabil_bici,2019-11-01T08:27:21.911,3.3669177,-76.5302043,82.0,,,,
67,navia_cañas_diahabil_bici,2019-11-01T08:27:21.912,3.3669177,-76.5302043,,,,,87.0
68,navia_cañas_diahabil_bici,2019-11-01T08:27:21.913,3.3669177,-76.5302043,,26.0,,30.0,
69,navia_cañas_diahabil_bici,2019-11-01T08:27:21.914,3.3669177,-76.5302043,,,50.0,,
70,navia_cañas_diahabil_bici,2019-11-01T08:27:22.910,3.3669076,-76.5302122,82.0,,,,
71,navia_cañas_diahabil_bici,2019-11-01T08:27:22.912,3.3669076,-76.5302122,,,,,87.0
72,navia_cañas_diahabil_bici,2019-11-01T08:27:22.913,3.3669076,-76.5302122,,25.0,,,
73,navia_cañas_diahabil_bici,2019-11-01T08:27:22.915,3.3669076,-76.5302122,,,,29.0,
74,navia_cañas_diahabil_bici,2019-11-01T08:27:22.919,3.3669076,-76.5302122,,,49.0,,
75,navia_cañas_diahabil_bici,2019-11-01T08:27:23.913,3.3669051,-76.53022,82.0,,,,
76,navia_cañas_diahabil_bici,2019-11-01T08:27:23.914,3.3669051,-76.53022,,,,,87.0
77,navia_cañas_diahabil_bici,2019-11-01T08:27:23.916,3.3669051,-76.53022,,25.0,,,
78,navia_cañas_diahabil_bici,2019-11-01T08:27:23.917,3.3669051,-76.53022,,,,29.0,
79,navia_cañas_diahabil_bici,2019-11-01T08:27:23.920,3.3669051,-76.53022,,,50.0,,
80,navia_cañas_diahabil_bici,2019-11-01T08:27:24.911,3.3669051,-76.53022,82.0,,,,
81,navia_cañas_diahabil_bici,2019-11-01T08:27:24.912,3.3669051,-76.53022,,,,,87.0
82,navia_cañas_diahabil_bici,2019-11-01T08:27:24.913,3.3669051,-76.53022,,26.0,,31.0,
83,navia_cañas_diahabil_bici,2019-11-01T08:27:24.914,3.3669051,-76.53022,,,51.0,,
84,navia_cañas_diahabil_bici,2019-11-01T08:27:25.913,3.3668966,-76.5302226,82.0,,,,
85,navia_cañas_diahabil_bici,2019-11-01T08:27:25.914,3.3668966,-76.5302226,,26.0,,,87.0
86,navia_cañas_diahabil_bici,2019-11-01T08:27:25.915,3.3668966,-76.5302226,,,51.0,30.0,
87,navia_cañas_diahabil_bici,2019-11-01T08:27:26.911,3.366892,-76.5302265,82.0,,,,
88,navia_cañas_diahabil_bici,2019-11-01T08:27:26.913,3.366892,-76.5302265,,,,,87.0
89,navia_cañas_diahabil_bici,2019-11-01T08:27:26.914,3.366892,-76.5302265,,25.0,50.0,29.0,
90,navia_cañas_diahabil_bici,2019-11-01T08:27:27.912,3.366892,-76.5302265,82.0,,,,
91,navia_cañas_diahabil_bici,2019-11-01T08:27:27.914,3.366892,-76.5302265,,24.0,,28.0,87.0
92,navia_cañas_diahabil_bici,2019-11-01T08:27:27.915,3.366892,-76.5302265,,,49.0,,
93,navia_cañas_diahabil_bici,2019-11-01T08:27:28.916,3.3668958,-76.5302254,83.0,,,,
94,navia_cañas_diahabil_bici,2019-11-01T08:27:28.917,3.3668958,-76.5302254,,,,,87.0
95,navia_cañas_diahabil_bici,2019-11-01T08:27:28.918,3.3668958,-76.5302254,,23.0,49.0,28.0,
96,navia_cañas_diahabil_bici,2019-11-01T08:27:29.912,3.3668958,-76.5302254,83.0,,,,
97,navia_cañas_diahabil_bici,2019-11-01T08:27:29.913,3.3668958,-76.5302254,,,,,87.0
98,navia_cañas_diahabil_bici,2019-11-01T08:27:29.914,3.3668958,-76.5302254,,23.0,49.0,28.0,
99,navia_cañas_diahabil_bici,2019-11-01T08:27:30.911,3.3668932,-76.5302219,83.0,,,,
100,navia_cañas_diahabil_bici,2019-11-01T08:27:30.912,3.3668932,-76.5302219,,,,,87.0
101,navia_cañas_diahabil_bici,2019-11-01T08:27:30.913,3.3668932,-76.5302219,,24.0,50.0,29.0,
102,navia_cañas_diahabil_bici,2019-11-01T08:27:31.908,3.3668932,-76.5302219,82.0,,,,
103,navia_cañas_diahabil_bici,2019-11-01T08:27:31.909,3.3668932,-76.5302219,,24.0,50.0,29.0,87.0
104,navia_cañas_diahabil_bici,2019-11-01T08:27:32.912,3.3668866,-76.5302178,82.0,,,,
105,navia_cañas_diahabil_bici,2019-11-01T08:27:32.913,3.3668866,-76.5302178,,24.0,,,87.0
106,navia_cañas_diahabil_bici,2019-11-01T08:27:32.914,3.3668866,-76.5302178,,,51.0,29.0,
107,navia_cañas_diahabil_bici,2019-11-01T08:27:33.913,3.366884,-76.5302161,82.0,,,,86.0
108,navia_cañas_diahabil_bici,2019-11-01T08:27:33.914,3.366884,-76.5302161,,24.0,51.0,29.0,
109,navia_cañas_diahabil_bici,2019-11-01T08:27:34.913,3.366881,-76.5302156,82.0,,,,
110,navia_cañas_diahabil_bici,2019-11-01T08:27:34.914,3.366881,-76.5302156,,24.0,,,86.0
111,navia_cañas_diahabil_bici,2019-11-01T08:27:34.915,3.366881,-76.5302156,,,51.0,29.0,
112,navia_cañas_diahabil_bici,2019-11-01T08:27:35.912,3.366881,-76.5302156,83.0,,,,
113,navia_cañas_diahabil_bici,2019-11-01T08:27:35.913,3.366881,-76.5302156,,24.0,,,86.0
114,navia_cañas_diahabil_bici,2019-11-01T08:27:35.914,3.366881,-76.5302156,,,50.0,29.0,
115,navia_cañas_diahabil_bici,2019-11-01T08:27:36.912,3.3668797,-76.5302162,82.0,,,,
116,navia_cañas_diahabil_bici,2019-11-01T08:27:36.913,3.3668797,-76.5302162,,,,,86.0
117,navia_cañas_diahabil_bici,2019-11-01T08:27:36.914,3.3668797,-76.5302162,,24.0,50.0,29.0,
118,navia_cañas_diahabil_bici,2019-11-01T08:27:38.909,3.3668786,-76.5302167,82.0,,,,
119,navia_cañas_diahabil_bici,2019-11-01T08:27:38.910,3.3668786,-76.5302167,,24.0,48.0,28.0,86.0
120,navia_cañas_diahabil_bici,2019-11-01T08:27:39.913,3.3668726,-76.5302097,82.0,,,,
121,navia_cañas_diahabil_bici,2019-11-01T08:27:39.914,3.3668726,-76.5302097,,,,,85.0
122,navia_cañas_diahabil_bici,2019-11-01T08:27:39.915,3.3668726,-76.5302097,,24.0,,28.0,
123,navia_cañas_diahabil_bici,2019-11-01T08:27:39.916,3.3668726,-76.5302097,83.0,,48.0,,86.0
124,navia_cañas_diahabil_bici,2019-11-01T08:27:39.917,3.3668726,-76.5302097,,25.0,,29.0,
125,navia_cañas_diahabil_bici,2019-11-01T08:27:39.918,3.3668726,-76.5302097,,,51.0,,
126,navia_cañas_diahabil_bici,2019-11-01T08:27:40.913,3.3668726,-76.5302097,83.0,,,,
127,navia_cañas_diahabil_bici,2019-11-01T08:27:40.914,3.3668726,-76.5302097,,,,,86.0
128,navia_cañas_diahabil_bici,2019-11-01T08:27:40.915,3.3668726,-76.5302097,,25.0,49.0,29.0,
129,navia_cañas_diahabil_bici,2019-11-01T08:27:41.917,3.3668643,-76.5302011,82.0,,,,85.0
130,navia_cañas_diahabil_bici,2019-11-01T08:27:41.918,3.3668643,-76.5302011,,26.0,50.0,30.0,
131,navia_cañas_diahabil_bici,2019-11-01T08:27:43.416,3.3668586,-76.5302007,83.0,,,,86.0
132,navia_cañas_diahabil_bici,2019-11-01T08:27:43.417,3.3668586,-76.5302007,83.0,23.0,45.0,28.0,
133,navia_cañas_diahabil_bici,2019-11-01T08:27:43.418,3.3668586,-76.5302007,,23.0,,28.0,86.0
134,navia_cañas_diahabil_bici,2019-11-01T08:27:43.419,3.3668586,-76.5302007,,,44.0,,
135,navia_cañas_diahabil_bici,2019-11-01T08:27:44.413,3.3668586,-76.5302007,83.0,,,,85.0
136,navia_cañas_diahabil_bici,2019-11-01T08:27:44.414,3.3668586,-76.5302007,,23.0,44.0,27.0,
137,navia_cañas_diahabil_bici,2019-11-01T08:27:45.916,3.3668575,-76.5302074,82.0,,,,
138,navia_cañas_diahabil_bici,2019-11-01T08:27:45.917,3.3668575,-76.5302074,,23.0,44.0,27.0,85.0
139,navia_cañas_diahabil_bici,2019-11-01T08:27:46.914,3.3668598,-76.530217,83.0,,,,
140,navia_cañas_diahabil_bici,2019-11-01T08:27:46.915,3.3668598,-76.530217,,23.0,,27.0,85.0
141,navia_cañas_diahabil_bici,2019-11-01T08:27:46.916,3.3668598,-76.530217,,,45.0,,
142,navia_cañas_diahabil_bici,2019-11-01T08:27:47.915,3.3668625,-76.5302224,83.0,,,,
143,navia_cañas_diahabil_bici,2019-11-01T08:27:47.917,3.3668625,-76.5302224,,23.0,,27.0,85.0
144,navia_cañas_diahabil_bici,2019-11-01T08:27:47.918,3.3668625,-76.5302224,,,45.0,,
145,navia_cañas_diahabil_bici,2019-11-01T08:27:49.413,3.3668413,-76.5302314,83.0,,,,84.0
