,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9,AirBeam2:001896100BE9
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,sesión viernes 25,2019-10-25T19:19:11.311,3.348469,-76.5305306,83.0,,,,
2,sesión viernes 25,2019-10-25T19:19:11.314,3.348469,-76.5305306,,,,,82.0
3,sesión viernes 25,2019-10-25T19:19:11.315,3.348469,-76.5305306,,10.0,19.0,14.0,
4,sesión viernes 25,2019-10-25T19:19:12.311,3.3484628,-76.5305385,83.0,,,,
5,sesión viernes 25,2019-10-25T19:19:12.313,3.3484628,-76.5305385,,,,,82.0
6,sesión viernes 25,2019-10-25T19:19:12.314,3.3484628,-76.5305385,,10.0,19.0,14.0,
7,sesión viernes 25,2019-10-25T19:19:13.311,3.3484628,-76.5305385,83.0,,,,
8,sesión viernes 25,2019-10-25T19:19:13.313,3.3484628,-76.5305385,,11.0,21.0,14.0,82.0
9,sesión viernes 25,2019-10-25T19:19:14.313,3.3484681,-76.5305458,83.0,11.0,21.0,14.0,82.0
10,sesión viernes 25,2019-10-25T19:19:15.313,3.3484681,-76.5305458,83.0,,,,
11,sesión viernes 25,2019-10-25T19:19:15.314,3.3484681,-76.5305458,,11.0,20.0,14.0,82.0
12,sesión viernes 25,2019-10-25T19:19:16.314,3.3484729,-76.5305495,83.0,,,,
13,sesión viernes 25,2019-10-25T19:19:16.315,3.3484729,-76.5305495,,10.0,20.0,14.0,82.0
14,sesión viernes 25,2019-10-25T19:19:17.313,3.3484739,-76.5305502,83.0,9.0,20.0,14.0,82.0
15,sesión viernes 25,2019-10-25T19:19:18.313,3.3484739,-76.5305502,83.0,10.0,20.0,14.0,82.0
16,sesión viernes 25,2019-10-25T19:19:19.313,3.3484745,-76.5305509,82.0,10.0,18.0,13.0,82.0
17,sesión viernes 25,2019-10-25T19:19:20.313,3.3484745,-76.5305513,83.0,11.0,20.0,14.0,82.0
18,sesión viernes 25,2019-10-25T19:19:21.313,3.3484745,-76.5305513,83.0,12.0,21.0,15.0,82.0
19,sesión viernes 25,2019-10-25T19:19:22.313,3.348474,-76.530552,83.0,11.0,22.0,15.0,82.0
20,sesión viernes 25,2019-10-25T19:19:23.810,3.3484739,-76.5305521,82.0,,,,82.0
21,sesión viernes 25,2019-10-25T19:19:23.811,3.3484739,-76.5305521,,11.0,22.0,15.0,
22,sesión viernes 25,2019-10-25T19:19:24.313,3.3484739,-76.5305521,83.0,11.0,,,81.0
23,sesión viernes 25,2019-10-25T19:19:24.314,3.3484739,-76.5305521,,,24.0,16.0,
24,sesión viernes 25,2019-10-25T19:19:25.313,3.3484735,-76.5305524,83.0,12.0,26.0,17.0,82.0
25,sesión viernes 25,2019-10-25T19:19:26.313,3.3484735,-76.5305524,83.0,12.0,26.0,17.0,82.0
26,sesión viernes 25,2019-10-25T19:19:27.313,3.348473,-76.5305525,82.0,11.0,25.0,17.0,82.0
27,sesión viernes 25,2019-10-25T19:19:28.313,3.348473,-76.5305525,83.0,12.0,27.0,18.0,82.0
28,sesión viernes 25,2019-10-25T19:19:29.313,3.3484716,-76.5305523,82.0,13.0,28.0,19.0,82.0
29,sesión viernes 25,2019-10-25T19:19:30.313,3.3484716,-76.5305523,83.0,,,,82.0
30,sesión viernes 25,2019-10-25T19:19:30.314,3.3484716,-76.5305523,,13.0,28.0,19.0,
31,sesión viernes 25,2019-10-25T19:19:31.309,3.3484707,-76.5305519,83.0,,,,
32,sesión viernes 25,2019-10-25T19:19:31.310,3.3484707,-76.5305519,,13.0,27.0,18.0,82.0
33,sesión viernes 25,2019-10-25T19:19:31.812,3.3484707,-76.5305519,83.0,,,,
34,sesión viernes 25,2019-10-25T19:19:31.812,3.3484707,-76.5305519,,13.0,27.0,18.0,81.0
35,sesión viernes 25,2019-10-25T19:19:32.810,3.3484701,-76.5305518,83.0,,,,
36,sesión viernes 25,2019-10-25T19:19:32.811,3.3484701,-76.5305518,,12.0,27.0,18.0,82.0
37,sesión viernes 25,2019-10-25T19:19:34.313,3.3484701,-76.5305518,83.0,12.0,27.0,18.0,81.0
38,sesión viernes 25,2019-10-25T19:19:35.313,3.34847,-76.5305517,83.0,12.0,25.0,16.0,81.0
39,sesión viernes 25,2019-10-25T19:19:36.313,3.34847,-76.5305517,83.0,12.0,24.0,16.0,81.0
40,sesión viernes 25,2019-10-25T19:19:37.313,3.3484697,-76.5305516,82.0,12.0,23.0,16.0,82.0
41,sesión viernes 25,2019-10-25T19:19:38.313,3.3484696,-76.5305516,82.0,11.0,21.0,15.0,81.0
42,sesión viernes 25,2019-10-25T19:19:39.311,3.3484696,-76.5305517,83.0,,,,
43,sesión viernes 25,2019-10-25T19:19:39.313,3.3484696,-76.5305517,,11.0,21.0,15.0,81.0
44,sesión viernes 25,2019-10-25T19:19:40.313,3.3484696,-76.5305517,83.0,12.0,19.0,15.0,81.0
45,sesión viernes 25,2019-10-25T19:19:41.313,3.3484696,-76.5305518,83.0,13.0,21.0,16.0,81.0
46,sesión viernes 25,2019-10-25T19:19:42.313,3.3484697,-76.5305518,82.0,14.0,,17.0,81.0
47,sesión viernes 25,2019-10-25T19:19:42.314,3.3484697,-76.5305518,,,23.0,,
