,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC,AirBeam2:001896100EBC
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,yan_Cañas_lunes_9am,2019-10-28T09:33:11.147,3.3708914,-76.5285686,85.0,,,,
2,yan_Cañas_lunes_9am,2019-10-28T09:33:11.461,3.3708914,-76.5285686,,17.0,,,76.0
3,yan_Cañas_lunes_9am,2019-10-28T09:33:11.462,3.3708914,-76.5285686,,,41.0,25.0,
4,yan_Cañas_lunes_9am,2019-10-28T09:33:12.117,3.3708914,-76.5285686,85.0,,,,
5,yan_Cañas_lunes_9am,2019-10-28T09:33:12.198,3.3708914,-76.5285686,,,,,76.0
6,yan_Cañas_lunes_9am,2019-10-28T09:33:12.208,3.3708914,-76.5285686,,17.0,,,
7,yan_Cañas_lunes_9am,2019-10-28T09:33:12.276,3.3708914,-76.5285686,,,,25.0,
8,yan_Cañas_lunes_9am,2019-10-28T09:33:12.292,3.3708914,-76.5285686,,,39.0,,
9,yan_Cañas_lunes_9am,2019-10-28T09:33:13.099,3.370643,-76.5285309,85.0,,,,
10,yan_Cañas_lunes_9am,2019-10-28T09:33:13.167,3.370643,-76.5285309,,,,,76.0
11,yan_Cañas_lunes_9am,2019-10-28T09:33:13.242,3.370643,-76.5285309,,19.0,,,
12,yan_Cañas_lunes_9am,2019-10-28T09:33:13.266,3.370643,-76.5285309,,,,25.0,
13,yan_Cañas_lunes_9am,2019-10-28T09:33:13.291,3.370643,-76.5285309,,,41.0,,
14,yan_Cañas_lunes_9am,2019-10-28T09:33:14.170,3.3708734,-76.5291021,85.0,,,,76.0
15,yan_Cañas_lunes_9am,2019-10-28T09:33:14.253,3.3708734,-76.5291021,,19.0,,,
16,yan_Cañas_lunes_9am,2019-10-28T09:33:14.261,3.3708734,-76.5291021,,,,25.0,
17,yan_Cañas_lunes_9am,2019-10-28T09:33:14.291,3.3708734,-76.5291021,,,41.0,,
18,yan_Cañas_lunes_9am,2019-10-28T09:33:15.177,3.3708734,-76.5291021,85.0,,,,
19,yan_Cañas_lunes_9am,2019-10-28T09:33:15.234,3.3708734,-76.5291021,,19.0,,,76.0
20,yan_Cañas_lunes_9am,2019-10-28T09:33:15.238,3.3708734,-76.5291021,,,,25.0,
21,yan_Cañas_lunes_9am,2019-10-28T09:33:15.329,3.3708734,-76.5291021,,,40.0,,
22,yan_Cañas_lunes_9am,2019-10-28T09:33:16.080,3.3709165,-76.5292898,85.0,,,,
23,yan_Cañas_lunes_9am,2019-10-28T09:33:16.192,3.3709165,-76.5292898,,,,,76.0
24,yan_Cañas_lunes_9am,2019-10-28T09:33:16.195,3.3709165,-76.5292898,,19.0,,,
25,yan_Cañas_lunes_9am,2019-10-28T09:33:16.334,3.3709165,-76.5292898,,,,25.0,
26,yan_Cañas_lunes_9am,2019-10-28T09:33:16.335,3.3709165,-76.5292898,,,40.0,,
27,yan_Cañas_lunes_9am,2019-10-28T09:33:17.155,3.3709252,-76.5293654,85.0,,,,
28,yan_Cañas_lunes_9am,2019-10-28T09:33:17.210,3.3709252,-76.5293654,,,,,76.0
29,yan_Cañas_lunes_9am,2019-10-28T09:33:17.273,3.3709252,-76.5293654,,19.0,,,
30,yan_Cañas_lunes_9am,2019-10-28T09:33:17.323,3.3709252,-76.5293654,,,,25.0,
31,yan_Cañas_lunes_9am,2019-10-28T09:33:17.325,3.3709252,-76.5293654,,,40.0,,
32,yan_Cañas_lunes_9am,2019-10-28T09:33:18.092,3.3709252,-76.5293654,85.0,,,,
33,yan_Cañas_lunes_9am,2019-10-28T09:33:18.160,3.3709252,-76.5293654,,,,,76.0
34,yan_Cañas_lunes_9am,2019-10-28T09:33:18.219,3.3709252,-76.5293654,,19.0,,,
35,yan_Cañas_lunes_9am,2019-10-28T09:33:18.313,3.3709252,-76.5293654,,,,25.0,
36,yan_Cañas_lunes_9am,2019-10-28T09:33:18.321,3.3709252,-76.5293654,,,39.0,,
37,yan_Cañas_lunes_9am,2019-10-28T09:33:19.090,3.370917,-76.529478,85.0,,,,
38,yan_Cañas_lunes_9am,2019-10-28T09:33:19.145,3.370917,-76.529478,,,,,76.0
39,yan_Cañas_lunes_9am,2019-10-28T09:33:19.203,3.370917,-76.529478,,19.0,,,
40,yan_Cañas_lunes_9am,2019-10-28T09:33:19.268,3.370917,-76.529478,,,,25.0,
41,yan_Cañas_lunes_9am,2019-10-28T09:33:19.303,3.370917,-76.529478,,,37.0,,
42,yan_Cañas_lunes_9am,2019-10-28T09:33:20.077,3.370917,-76.529478,85.0,,,,
43,yan_Cañas_lunes_9am,2019-10-28T09:33:20.191,3.370917,-76.529478,,,,,76.0
44,yan_Cañas_lunes_9am,2019-10-28T09:33:20.310,3.370917,-76.529478,,19.0,,,
45,yan_Cañas_lunes_9am,2019-10-28T09:33:20.343,3.370917,-76.529478,,,,25.0,
46,yan_Cañas_lunes_9am,2019-10-28T09:33:20.343,3.370917,-76.529478,,,39.0,,
47,yan_Cañas_lunes_9am,2019-10-28T09:33:21.134,3.3708637,-76.5295517,85.0,,,,
48,yan_Cañas_lunes_9am,2019-10-28T09:33:21.135,3.3708637,-76.5295517,,,,,76.0
49,yan_Cañas_lunes_9am,2019-10-28T09:33:21.263,3.3708637,-76.5295517,,19.0,,,
50,yan_Cañas_lunes_9am,2019-10-28T09:33:21.307,3.3708637,-76.5295517,,,,25.0,
51,yan_Cañas_lunes_9am,2019-10-28T09:33:21.317,3.3708637,-76.5295517,,,39.0,,
52,yan_Cañas_lunes_9am,2019-10-28T09:33:22.101,3.3708208,-76.5295769,85.0,,,,
53,yan_Cañas_lunes_9am,2019-10-28T09:33:22.118,3.3708208,-76.5295769,,,,,76.0
54,yan_Cañas_lunes_9am,2019-10-28T09:33:22.290,3.3708208,-76.5295769,,20.0,,,
55,yan_Cañas_lunes_9am,2019-10-28T09:33:22.291,3.3708208,-76.5295769,,,,25.0,
56,yan_Cañas_lunes_9am,2019-10-28T09:33:22.352,3.3708208,-76.5295769,,,40.0,,
57,yan_Cañas_lunes_9am,2019-10-28T09:33:23.102,3.3707685,-76.5296062,85.0,,,,
58,yan_Cañas_lunes_9am,2019-10-28T09:33:23.158,3.3707685,-76.5296062,,,,,76.0
59,yan_Cañas_lunes_9am,2019-10-28T09:33:23.303,3.3707685,-76.5296062,,20.0,,,
60,yan_Cañas_lunes_9am,2019-10-28T09:33:23.316,3.3707685,-76.5296062,,,40.0,25.0,
61,yan_Cañas_lunes_9am,2019-10-28T09:33:24.132,3.3707685,-76.5296062,85.0,,,,
62,yan_Cañas_lunes_9am,2019-10-28T09:33:24.142,3.3707685,-76.5296062,,,,,76.0
63,yan_Cañas_lunes_9am,2019-10-28T09:33:24.200,3.3707685,-76.5296062,,20.0,,,
